id,event,kickoff_time,team_h,team_a,team_h_score,team_a_score,finished,minutes,provisional_start_time,team_h_name,team_a_name
107,11,2025-11-08T15:00:00Z,16,11,,,False,0,False,NFO,LEE
109,11,2025-11-08T15:00:00Z,18,14,,,False,0,False,TOT,MUN
108,11,2025-11-08T15:00:00Z,17,1,,,False,0,False,SUN,ARS
110,11,2025-11-08T15:00:00Z,19,3,,,False,0,False,WHU,BUR
111,12,2025-11-22T15:00:00Z,1,18,,,False,0,False,ARS,TOT
112,12,2025-11-22T15:00:00Z,4,19,,,False,0,False,BOU,WHU
113,12,2025-11-22T15:00:00Z,6,5,,,False,0,False,BHA,BRE
114,12,2025-11-22T15:00:00Z,3,7,,,False,0,False,BUR,CHE
115,12,2025-11-22T15:00:00Z,10,17,,,False,0,False,FUL,SUN
116,12,2025-11-22T15:00:00Z,11,2,,,False,0,False,LEE,AVL
117,12,2025-11-22T15:00:00Z,12,16,,,False,0,False,LIV,NFO
118,12,2025-11-22T15:00:00Z,14,9,,,False,0,False,MUN,EVE
119,12,2025-11-22T15:00:00Z,15,13,,,False,0,False,NEW,MCI
120,12,2025-11-22T15:00:00Z,20,8,,,False,0,False,WOL,CRY
121,13,2025-11-29T15:00:00Z,2,20,,,False,0,False,AVL,WOL
122,13,2025-11-29T15:00:00Z,5,3,,,False,0,False,BRE,BUR
123,13,2025-11-29T15:00:00Z,7,1,,,False,0,False,CHE,ARS
124,13,2025-11-29T15:00:00Z,8,14,,,False,0,False,CRY,MUN
125,13,2025-11-29T15:00:00Z,9,15,,,False,0,False,EVE,NEW
126,13,2025-11-29T15:00:00Z,13,11,,,False,0,False,MCI,LEE
127,13,2025-11-29T15:00:00Z,16,6,,,False,0,False,NFO,BHA
129,13,2025-11-29T15:00:00Z,18,10,,,False,0,False,TOT,FUL
128,13,2025-11-29T15:00:00Z,17,4,,,False,0,False,SUN,BOU
130,13,2025-11-29T15:00:00Z,19,12,,,False,0,False,WHU,LIV
131,14,2025-12-03T20:00:00Z,1,5,,,False,0,False,ARS,BRE
132,14,2025-12-03T20:00:00Z,4,9,,,False,0,False,BOU,EVE
133,14,2025-12-03T20:00:00Z,6,2,,,False,0,False,BHA,AVL
134,14,2025-12-03T20:00:00Z,3,8,,,False,0,False,BUR,CRY
135,14,2025-12-03T20:00:00Z,10,13,,,False,0,False,FUL,MCI
136,14,2025-12-03T20:00:00Z,11,7,,,False,0,False,LEE,CHE
137,14,2025-12-03T20:00:00Z,12,17,,,False,0,False,LIV,SUN
138,14,2025-12-03T20:00:00Z,14,19,,,False,0,False,MUN,WHU
139,14,2025-12-03T20:00:00Z,15,18,,,False,0,False,NEW,TOT
140,14,2025-12-03T20:00:00Z,20,16,,,False,0,False,WOL,NFO
141,15,2025-12-06T15:00:00Z,2,1,,,False,0,False,AVL,ARS
142,15,2025-12-06T15:00:00Z,4,7,,,False,0,False,BOU,CHE
143,15,2025-12-06T15:00:00Z,6,19,,,False,0,False,BHA,WHU
144,15,2025-12-06T15:00:00Z,9,16,,,False,0,False,EVE,NFO
145,15,2025-12-06T15:00:00Z,10,8,,,False,0,False,FUL,CRY
146,15,2025-12-06T15:00:00Z,11,12,,,False,0,False,LEE,LIV
147,15,2025-12-06T15:00:00Z,13,17,,,False,0,False,MCI,SUN
148,15,2025-12-06T15:00:00Z,15,3,,,False,0,False,NEW,BUR
149,15,2025-12-06T15:00:00Z,18,5,,,False,0,False,TOT,BRE
150,15,2025-12-06T15:00:00Z,20,14,,,False,0,False,WOL,MUN
151,16,2025-12-13T15:00:00Z,1,20,,,False,0,False,ARS,WOL
152,16,2025-12-13T15:00:00Z,5,11,,,False,0,False,BRE,LEE
153,16,2025-12-13T15:00:00Z,3,10,,,False,0,False,BUR,FUL
154,16,2025-12-13T15:00:00Z,7,9,,,False,0,False,CHE,EVE
155,16,2025-12-13T15:00:00Z,8,13,,,False,0,False,CRY,MCI
156,16,2025-12-13T15:00:00Z,12,6,,,False,0,False,LIV,BHA
157,16,2025-12-13T15:00:00Z,14,4,,,False,0,False,MUN,BOU
158,16,2025-12-13T15:00:00Z,16,18,,,False,0,False,NFO,TOT
159,16,2025-12-13T15:00:00Z,17,15,,,False,0,False,SUN,NEW
160,16,2025-12-13T15:00:00Z,19,2,,,False,0,False,WHU,AVL
161,17,2025-12-20T15:00:00Z,2,14,,,False,0,False,AVL,MUN
162,17,2025-12-20T15:00:00Z,4,3,,,False,0,False,BOU,BUR
163,17,2025-12-20T15:00:00Z,6,17,,,False,0,False,BHA,SUN
164,17,2025-12-20T15:00:00Z,9,1,,,False,0,False,EVE,ARS
165,17,2025-12-20T15:00:00Z,10,16,,,False,0,False,FUL,NFO
166,17,2025-12-20T15:00:00Z,11,8,,,False,0,False,LEE,CRY
167,17,2025-12-20T15:00:00Z,13,19,,,False,0,False,MCI,WHU
168,17,2025-12-20T15:00:00Z,15,7,,,False,0,False,NEW,CHE
169,17,2025-12-20T15:00:00Z,18,12,,,False,0,False,TOT,LIV
170,17,2025-12-20T15:00:00Z,20,5,,,False,0,False,WOL,BRE
171,18,2025-12-27T15:00:00Z,1,6,,,False,0,False,ARS,BHA
172,18,2025-12-27T15:00:00Z,5,4,,,False,0,False,BRE,BOU
173,18,2025-12-27T15:00:00Z,3,9,,,False,0,False,BUR,EVE
174,18,2025-12-27T15:00:00Z,7,2,,,False,0,False,CHE,AVL
175,18,2025-12-27T15:00:00Z,8,18,,,False,0,False,CRY,TOT
176,18,2025-12-27T15:00:00Z,12,20,,,False,0,False,LIV,WOL
177,18,2025-12-27T15:00:00Z,14,15,,,False,0,False,MUN,NEW
178,18,2025-12-27T15:00:00Z,16,13,,,False,0,False,NFO,MCI
179,18,2025-12-27T15:00:00Z,17,11,,,False,0,False,SUN,LEE
180,18,2025-12-27T15:00:00Z,19,10,,,False,0,False,WHU,FUL
181,19,2025-12-30T20:00:00Z,1,2,,,False,0,False,ARS,AVL
182,19,2025-12-30T20:00:00Z,5,18,,,False,0,False,BRE,TOT
183,19,2025-12-30T20:00:00Z,3,15,,,False,0,False,BUR,NEW
184,19,2025-12-30T20:00:00Z,7,4,,,False,0,False,CHE,BOU
185,19,2025-12-30T20:00:00Z,8,10,,,False,0,False,CRY,FUL
186,19,2025-12-30T20:00:00Z,12,11,,,False,0,False,LIV,LEE
187,19,2025-12-30T20:00:00Z,14,20,,,False,0,False,MUN,WOL
188,19,2025-12-30T20:00:00Z,16,9,,,False,0,False,NFO,EVE
189,19,2025-12-30T20:00:00Z,17,13,,,False,0,False,SUN,MCI
190,19,2025-12-30T20:00:00Z,19,6,,,False,0,False,WHU,BHA
191,20,2026-01-03T15:00:00Z,2,16,,,False,0,False,AVL,NFO
192,20,2026-01-03T15:00:00Z,4,1,,,False,0,False,BOU,ARS
193,20,2026-01-03T15:00:00Z,6,3,,,False,0,False,BHA,BUR
194,20,2026-01-03T15:00:00Z,9,5,,,False,0,False,EVE,BRE
195,20,2026-01-03T15:00:00Z,10,12,,,False,0,False,FUL,LIV
196,20,2026-01-03T15:00:00Z,11,14,,,False,0,False,LEE,MUN
197,20,2026-01-03T15:00:00Z,13,7,,,False,0,False,MCI,CHE
198,20,2026-01-03T15:00:00Z,15,8,,,False,0,False,NEW,CRY
199,20,2026-01-03T15:00:00Z,18,17,,,False,0,False,TOT,SUN
200,20,2026-01-03T15:00:00Z,20,19,,,False,0,False,WOL,WHU
201,21,2026-01-07T20:00:00Z,1,12,,,False,0,False,ARS,LIV
202,21,2026-01-07T20:00:00Z,4,18,,,False,0,False,BOU,TOT
203,21,2026-01-07T20:00:00Z,5,17,,,False,0,False,BRE,SUN
204,21,2026-01-07T20:00:00Z,3,14,,,False,0,False,BUR,MUN
205,21,2026-01-07T20:00:00Z,8,2,,,False,0,False,CRY,AVL
206,21,2026-01-07T20:00:00Z,9,20,,,False,0,False,EVE,WOL
207,21,2026-01-07T20:00:00Z,10,7,,,False,0,False,FUL,CHE
208,21,2026-01-07T20:00:00Z,13,6,,,False,0,False,MCI,BHA
209,21,2026-01-07T20:00:00Z,15,11,,,False,0,False,NEW,LEE
210,21,2026-01-07T20:00:00Z,19,16,,,False,0,False,WHU,NFO
211,22,2026-01-17T15:00:00Z,2,9,,,False,0,False,AVL,EVE
212,22,2026-01-17T15:00:00Z,6,4,,,False,0,False,BHA,BOU
213,22,2026-01-17T15:00:00Z,7,5,,,False,0,False,CHE,BRE
214,22,2026-01-17T15:00:00Z,11,10,,,False,0,False,LEE,FUL
215,22,2026-01-17T15:00:00Z,12,3,,,False,0,False,LIV,BUR
216,22,2026-01-17T15:00:00Z,14,13,,,False,0,False,MUN,MCI
217,22,2026-01-17T15:00:00Z,16,1,,,False,0,False,NFO,ARS
219,22,2026-01-17T15:00:00Z,18,19,,,False,0,False,TOT,WHU
218,22,2026-01-17T15:00:00Z,17,8,,,False,0,False,SUN,CRY
220,22,2026-01-17T15:00:00Z,20,15,,,False,0,False,WOL,NEW
221,23,2026-01-24T15:00:00Z,1,14,,,False,0,False,ARS,MUN
222,23,2026-01-24T15:00:00Z,4,12,,,False,0,False,BOU,LIV
223,23,2026-01-24T15:00:00Z,5,16,,,False,0,False,BRE,NFO
224,23,2026-01-24T15:00:00Z,3,18,,,False,0,False,BUR,TOT
225,23,2026-01-24T15:00:00Z,8,7,,,False,0,False,CRY,CHE
226,23,2026-01-24T15:00:00Z,9,11,,,False,0,False,EVE,LEE
227,23,2026-01-24T15:00:00Z,10,6,,,False,0,False,FUL,BHA
228,23,2026-01-24T15:00:00Z,13,20,,,False,0,False,MCI,WOL
229,23,2026-01-24T15:00:00Z,15,2,,,False,0,False,NEW,AVL
230,23,2026-01-24T15:00:00Z,19,17,,,False,0,False,WHU,SUN
231,24,2026-01-31T15:00:00Z,2,5,,,False,0,False,AVL,BRE
232,24,2026-01-31T15:00:00Z,6,9,,,False,0,False,BHA,EVE
233,24,2026-01-31T15:00:00Z,7,19,,,False,0,False,CHE,WHU
234,24,2026-01-31T15:00:00Z,11,1,,,False,0,False,LEE,ARS
235,24,2026-01-31T15:00:00Z,12,15,,,False,0,False,LIV,NEW
236,24,2026-01-31T15:00:00Z,14,10,,,False,0,False,MUN,FUL
237,24,2026-01-31T15:00:00Z,16,8,,,False,0,False,NFO,CRY
239,24,2026-01-31T15:00:00Z,18,13,,,False,0,False,TOT,MCI
238,24,2026-01-31T15:00:00Z,17,3,,,False,0,False,SUN,BUR
240,24,2026-01-31T15:00:00Z,20,4,,,False,0,False,WOL,BOU
241,25,2026-02-07T15:00:00Z,1,17,,,False,0,False,ARS,SUN
