gw,offset_hours,task_name,start_local,status
27,48,FPL Pre-Deadline GW27 - 48h,2026-02-19 14:30,OK
27,24,FPL Pre-Deadline GW27 - 24h,2026-02-20 14:30,OK
27,12,FPL Pre-Deadline GW27 - 12h,2026-02-21 02:30,OK
27,6,FPL Pre-Deadline GW27 - 6h,2026-02-21 08:30,OK
27,1,FPL Pre-Deadline GW27 - 1h,2026-02-21 13:30,OK
28,48,FPL Pre-Deadline GW28 - 48h,2026-02-26 14:30,OK
28,24,FPL Pre-Deadline GW28 - 24h,2026-02-27 14:30,OK
28,12,FPL Pre-Deadline GW28 - 12h,2026-02-28 02:30,OK
28,6,FPL Pre-Deadline GW28 - 6h,2026-02-28 08:30,OK
28,1,FPL Pre-Deadline GW28 - 1h,2026-02-28 13:30,OK
29,48,FPL Pre-Deadline GW29 - 48h,2026-03-02 19:30,OK
29,24,FPL Pre-Deadline GW29 - 24h,2026-03-03 19:30,OK
29,12,FPL Pre-Deadline GW29 - 12h,2026-03-04 07:30,OK
29,6,FPL Pre-Deadline GW29 - 6h,2026-03-04 13:30,OK
29,1,FPL Pre-Deadline GW29 - 1h,2026-03-04 18:30,OK
30,48,FPL Pre-Deadline GW30 - 48h,2026-03-12 14:30,OK
30,24,FPL Pre-Deadline GW30 - 24h,2026-03-13 14:30,OK
30,12,FPL Pre-Deadline GW30 - 12h,2026-03-14 02:30,OK
30,6,FPL Pre-Deadline GW30 - 6h,2026-03-14 08:30,OK
30,1,FPL Pre-Deadline GW30 - 1h,2026-03-14 13:30,OK
31,48,FPL Pre-Deadline GW31 - 48h,2026-03-19 14:30,OK
31,24,FPL Pre-Deadline GW31 - 24h,2026-03-20 14:30,OK
31,12,FPL Pre-Deadline GW31 - 12h,2026-03-21 02:30,OK
31,6,FPL Pre-Deadline GW31 - 6h,2026-03-21 08:30,OK
31,1,FPL Pre-Deadline GW31 - 1h,2026-03-21 13:30,OK
32,48,FPL Pre-Deadline GW32 - 48h,2026-04-09 14:30,OK
32,24,FPL Pre-Deadline GW32 - 24h,2026-04-10 14:30,OK
32,12,FPL Pre-Deadline GW32 - 12h,2026-04-11 02:30,OK
32,6,FPL Pre-Deadline GW32 - 6h,2026-04-11 08:30,OK
32,1,FPL Pre-Deadline GW32 - 1h,2026-04-11 13:30,OK
33,48,FPL Pre-Deadline GW33 - 48h,2026-04-16 14:30,OK
33,24,FPL Pre-Deadline GW33 - 24h,2026-04-17 14:30,OK
33,12,FPL Pre-Deadline GW33 - 12h,2026-04-18 02:30,OK
33,6,FPL Pre-Deadline GW33 - 6h,2026-04-18 08:30,OK
33,1,FPL Pre-Deadline GW33 - 1h,2026-04-18 13:30,OK
34,48,FPL Pre-Deadline GW34 - 48h,2026-04-23 14:30,OK
34,24,FPL Pre-Deadline GW34 - 24h,2026-04-24 14:30,OK
34,12,FPL Pre-Deadline GW34 - 12h,2026-04-25 02:30,OK
34,6,FPL Pre-Deadline GW34 - 6h,2026-04-25 08:30,OK
34,1,FPL Pre-Deadline GW34 - 1h,2026-04-25 13:30,OK
35,48,FPL Pre-Deadline GW35 - 48h,2026-04-30 14:30,OK
35,24,FPL Pre-Deadline GW35 - 24h,2026-05-01 14:30,OK
35,12,FPL Pre-Deadline GW35 - 12h,2026-05-02 02:30,OK
35,6,FPL Pre-Deadline GW35 - 6h,2026-05-02 08:30,OK
35,1,FPL Pre-Deadline GW35 - 1h,2026-05-02 13:30,OK
36,48,FPL Pre-Deadline GW36 - 48h,2026-05-07 14:30,OK
36,24,FPL Pre-Deadline GW36 - 24h,2026-05-08 14:30,OK
36,12,FPL Pre-Deadline GW36 - 12h,2026-05-09 02:30,OK
36,6,FPL Pre-Deadline GW36 - 6h,2026-05-09 08:30,OK
36,1,FPL Pre-Deadline GW36 - 1h,2026-05-09 13:30,OK
37,48,FPL Pre-Deadline GW37 - 48h,2026-05-15 14:30,OK
37,24,FPL Pre-Deadline GW37 - 24h,2026-05-16 14:30,OK
37,12,FPL Pre-Deadline GW37 - 12h,2026-05-17 02:30,OK
37,6,FPL Pre-Deadline GW37 - 6h,2026-05-17 08:30,OK
37,1,FPL Pre-Deadline GW37 - 1h,2026-05-17 13:30,OK
38,48,FPL Pre-Deadline GW38 - 48h,2026-05-22 15:30,OK
38,24,FPL Pre-Deadline GW38 - 24h,2026-05-23 15:30,OK
38,12,FPL Pre-Deadline GW38 - 12h,2026-05-24 03:30,OK
38,6,FPL Pre-Deadline GW38 - 6h,2026-05-24 09:30,OK
38,1,FPL Pre-Deadline GW38 - 1h,2026-05-24 14:30,OK
