snapshot_time,source_file,id,web_name,team,position,now_cost,ownership,NTI_1h,NTI_24h,momentum,status,price_freeze,forecast,risk_up,risk_down,eta_window
2025-08-24T01:11:35Z,price_change_forecast.csv,184,Green,3,1,40,0.4,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
2025-08-24T01:11:35Z,price_change_forecast.csv,185,Hladký,3,1,40,0.2,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
2025-08-24T01:11:35Z,price_change_forecast.csv,186,Roberts,3,2,45,0.1,0.0,0.0,flat,i,1,stable,0.0,0.0,48h+
2025-08-24T01:11:35Z,price_change_forecast.csv,187,Walker,3,2,45,1.9,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
2025-08-24T01:11:35Z,price_change_forecast.csv,188,Delcroix,3,2,40,0.3,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
2025-08-24T01:11:35Z,price_change_forecast.csv,189,Dodgson,3,2,40,0.0,0.0,0.0,flat,u,1,stable,0.0,0.0,48h+
2025-08-24T01:11:35Z,price_change_forecast.csv,190,Ekdal,3,2,40,0.3,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
2025-08-24T01:11:35Z,price_change_forecast.csv,191,Estève,3,2,40,19.5,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
2025-08-24T01:11:35Z,price_change_forecast.csv,192,Hartman,3,2,40,0.6,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
2025-08-24T01:11:35Z,price_change_forecast.csv,193,Humphreys,3,2,40,0.1,0.0,0.0,flat,d,1,stable,0.0,0.0,48h+
2025-08-24T01:11:35Z,price_change_forecast.csv,194,Jordan,3,2,40,0.2,0.0,0.0,flat,i,1,stable,0.0,0.0,48h+
2025-08-24T01:11:35Z,price_change_forecast.csv,195,Lucas Pires,3,2,40,0.2,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
2025-08-24T01:11:35Z,price_change_forecast.csv,196,Sambo,3,2,40,0.1,0.0,0.0,flat,u,0,stable,0.0,0.0,48h+
