player_id,web_name,team_name,position,minutes,apps,total_points,points_per90,goals_scored,assists,clean_sheets,goals_conceded,own_goals,saves,penalties_saved,penalties_missed,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,xg,xa,xgi,xgc,selected_by_percent,status,chance_of_playing_next_round,chance_of_playing_this_round,goals_scored_per90,assists_per90,saves_per90,last_updated_utc
28,Kabia,Arsenal,MID,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,u,0.0,0.0,,,,2026-01-02T05:25:27Z
29,Sambi,Arsenal,MID,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,u,0.0,0.0,,,,2026-01-02T05:25:27Z
30,Havertz,Arsenal,FWD,30,1,1,3.0,0,0,0,0,0,0,0,0,0,0,0,4,2.8,0.8,2.0,0.6,0.0,0.01,0.01,0.82,0.3,a,100.0,50.0,0.0,0.0,0.0,2026-01-02T05:25:27Z
31,G.Jesus,Arsenal,FWD,28,2,2,6.43,0,0,0,1,0,0,0,0,0,0,0,6,7.0,1.9000000000000001,37.0,4.6,0.21,0.01,0.22,0.41,0.2,a,100.0,100.0,0.0,0.0,0.0,2026-01-02T05:25:27Z
32,Martinez,Aston Villa,GK,720,8,29,3.62,0,0,2,6,0,22,0,0,1,0,1,139,169.4,3.0,0.0,17.2,0.0,0.030000000000000002,0.030000000000000002,10.92,3.3,a,100.0,100.0,0.0,0.0,2.75,2026-01-02T05:25:27Z
33,M.Bizot,Aston Villa,GK,270,3,8,2.67,0,0,1,5,0,5,0,0,1,0,0,29,33.6,0.0,0.0,3.4,0.0,0.0,0.0,5.13,0.4,a,,,0.0,0.0,1.667,2026-01-02T05:25:27Z
34,Gauci,Aston Villa,GK,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,u,0.0,0.0,,,,2026-01-02T05:25:27Z
35,Marschall,Aston Villa,GK,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,u,0.0,0.0,,,,2026-01-02T05:25:27Z
36,Cash,Aston Villa,DEF,962,11,54,5.05,3,0,3,10,0,0,0,0,4,0,6,178,268.6,149.1,63.0,48.2,0.39,0.7000000000000001,1.09,15.07,9.5,a,100.0,0.0,0.281,0.0,0.0,2026-01-02T05:25:27Z
37,Digne,Aston Villa,DEF,594,10,29,4.39,0,1,3,3,0,0,0,0,2,0,0,139,103.2,140.1,80.0,32.2,0.38,1.19,1.5699999999999998,7.76,1.7,a,100.0,100.0,0.0,0.152,0.0,2026-01-02T05:25:27Z
38,Konsa,Aston Villa,DEF,875,10,31,3.19,0,0,3,10,0,0,0,0,0,1,0,150,169.2,25.3,25.0,22.0,0.04,0.12,0.16,14.52,7.5,a,100.0,100.0,0.0,0.0,0.0,2026-01-02T05:25:27Z
39,Maatsen,Aston Villa,DEF,392,8,9,2.07,0,0,0,8,0,0,0,0,1,0,0,39,68.2,66.0,41.0,17.6,0.28,0.25,0.53,8.3,0.5,a,,,0.0,0.0,0.0,2026-01-02T05:25:27Z
40,Mings,Aston Villa,DEF,481,6,23,4.3,0,0,2,6,0,0,0,0,0,0,1,83,118.2,44.199999999999996,25.0,18.8,0.32999999999999996,0.09,0.42000000000000004,8.719999999999999,0.6,d,25.0,25.0,0.0,0.0,0.0,2026-01-02T05:25:27Z
41,Pau,Aston Villa,DEF,429,6,21,4.41,0,1,1,4,0,0,0,0,0,0,2,92,96.0,11.0,17.0,12.5,0.1,0.18,0.28,6.22,0.3,d,25.0,25.0,0.0,0.21,0.0,2026-01-02T05:25:27Z
42,A.García,Aston Villa,DEF,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,a,100.0,100.0,,,,2026-01-02T05:25:27Z
43,Alex Moreno,Aston Villa,DEF,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,u,0.0,0.0,,,,2026-01-02T05:25:27Z
44,Bogarde,Aston Villa,DEF,304,8,17,5.03,0,0,1,2,0,0,0,0,1,0,3,52,26.8,32.9,6.0,6.4,0.0,0.09,0.09,3.3600000000000003,0.5,a,100.0,100.0,0.0,0.0,0.0,2026-01-02T05:25:27Z
