id,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,selected_by_percent,status,chance_of_playing_this_round,news,minutes,total_points,expected_goals,expected_assists,expected_goal_involvements
205,Cullen,3,3,50,0,0,26763,15342,2.0,a,,,332,23,0.08,0.52,0.6
206,Edwards,3,3,48,-1,-2,493,593,0.1,a,,,5,1,0.0,0.0,0.0
207,Hannibal,3,3,50,0,0,863,1181,0.2,a,,,235,10,0.16,0.13,0.29
208,Koleosho,3,3,50,0,0,0,121,0.0,u,0.0,Has joined Espanyol on loan for the rest of the season.,0,0,0.0,0.0,0.0
209,Laurent,3,3,49,0,-1,135,151,0.0,a,,,187,5,0.12,0.13,0.25
210,Tchaouna,3,3,49,0,-1,558,193,0.0,a,,,110,8,0.21,0.05,0.26
211,A.Ramsey,3,3,44,0,-1,0,74913,4.6,u,0.0,has joined Leicester City on loan for the rest of the season.,0,0,0.0,0.0,0.0
212,Adewumi,3,3,45,0,0,0,105,0.0,u,0.0,Has joined Cercle Brugge on loan for the rest of the season.,0,0,0.0,0.0,0.0
213,Banel,3,3,45,0,0,458,309,0.0,a,,,0,0,0.0,0.0,0.0
214,Trésor,3,3,45,0,0,348,415,0.1,a,,,0,0,0.0,0.0,0.0
215,Flemming,3,4,54,0,-1,651,1053,0.1,a,,,20,2,0.0,0.0,0.0
216,Amdouni,3,4,49,0,-1,45,217,0.0,i,0.0,Knee injury - Unknown return date,0,0,0.0,0.0,0.0
217,Foster,3,4,50,0,0,46730,10799,1.3,a,,,333,12,0.73,0.05,0.78
218,Barnes,3,4,44,0,-1,10724,10876,1.6,a,,,0,0,0.0,0.0,0.0
219,Obafemi,3,4,44,0,-1,0,2988,0.2,u,0.0,has joined VfL Bochum  on loan for the rest of the season.,0,0,0.0,0.0,0.0
470,Dúbravka,3,1,40,0,0,66421,31497,34.1,a,100.0,,360,13,0.0,0.0,0.0
676,Ugochukwu,3,3,50,0,0,96,459,0.0,s,100.0,Suspended until 27 Sep,253,5,0.07,0.02,0.09
680,Broja,3,4,54,0,-1,994,1157,0.2,a,100.0,,1,1,0.0,0.0,0.0
722,Florentino,3,3,50,0,0,130,73,0.0,a,,,27,1,0.0,0.0,0.0
66,Neto,4,1,45,0,0,0,752,0.1,u,0.0,Has joined Botafogo permanently.,0,0,0.0,0.0,0.0
67,Petrović,4,1,45,0,0,28938,17737,4.5,a,,,360,15,0.0,0.0,0.0
68,Dennis,4,1,40,0,0,3698,3605,1.1,a,,,0,0,0.0,0.0,0.0
69,McKenna,4,1,40,0,0,493,664,0.2,a,,,0,0,0.0,0.0,0.0
70,Paulsen,4,1,40,0,0,0,604,0.1,u,0.0,Has joined Lechia Gdansk on loan for the rest of the season.,0,0,0.0,0.0,0.0
71,Zabarnyi,4,2,50,0,0,0,228,0.0,u,0.0,Has joined Paris Saint-Germain permanently.,0,0,0.0,0.0,0.0
72,Senesi,4,2,46,0,1,196184,31881,9.5,a,,,360,28,0.14,0.12,0.26
73,Smith,4,2,45,0,0,28,4063,0.2,i,0.0,Hamstring injury - Unknown return date,204,8,0.0,0.09,0.09
74,Truffert,4,2,45,0,0,9319,6239,1.2,a,,,360,15,0.01,0.37,0.38
75,Akinmboni,4,2,40,0,0,743,1394,0.3,a,,,0,0,0.0,0.0,0.0
76,Bevan,4,2,40,0,0,268,739,0.2,a,,,0,0,0.0,0.0,0.0
77,Hill,4,2,40,0,0,7374,4250,0.9,a,,,153,9,0.12,0.03,0.15
78,J.Araujo,4,2,40,0,0,1326,5137,0.9,a,100.0,,0,0,0.0,0.0,0.0
79,Mepham,4,2,40,0,0,0,1548,0.1,u,0.0,has joined West Bromwich Albion permanently.,0,0,0.0,0.0,0.0
80,Soler,4,2,40,0,0,817,1032,0.3,a,,,1,1,0.0,0.0,0.0
81,Kluivert,4,3,70,0,0,6000,7695,0.7,a,100.0,,44,3,0.2,0.33,0.53
82,Semenyo,4,3,75,1,5,702711,30475,41.2,a,,,360,36,2.67,0.21,2.88
84,Tavernier,4,3,55,0,0,19198,18070,1.7,a,,,332,20,0.86,0.43,1.29
85,Adams,4,3,50,0,0,3182,3628,0.4,a,,,357,11,0.06,0.13,0.19
86,Brooks,4,3,50,0,0,3323,4062,0.4,a,,,278,12,0.79,1.2,1.99
87,Christie,4,3,50,0,0,83,959,0.1,d,100.0,Knock - 75% chance of playing,51,2,0.06,0.02,0.08
88,Cook,4,3,49,0,-1,556,120,0.0,a,75.0,,4,1,0.0,0.0,0.0
89,Philip,4,3,49,0,-1,0,372,0.0,u,0.0,Has joined Midtjylland permanently.,0,0,0.0,0.0,0.0
90,Scott,4,3,50,0,0,10960,2029,0.2,a,,,266,16,0.16,0.18,0.34
91,Sinisterra,4,3,50,0,0,0,215,0.0,u,0.0,Has joined Cruzeiro on loan for the rest of the season.,0,0,0.0,0.0,0.0
92,Faivre,4,3,45,0,0,0,2029,0.1,u,0.0,has joined Al Taawoun permanently.,0,0,0.0,0.0,0.0
93,H.Traorè,4,3,45,0,0,0,17285,0.8,u,0.0,has joined Marseille on loan for the rest of the season.,16,4,0.0,0.0,0.0
94,Sadi,4,3,45,0,0,1022,552,0.1,a,,,0,0,0.0,0.0,0.0
