id,event,kickoff_time,team_h,team_a,team_h_difficulty,team_a_difficulty,finished,finished_provisional,started,minutes
123,13,2025-11-29T15:00:00Z,7,1,4,4,False,False,False,0
124,13,2025-11-29T15:00:00Z,8,14,3,3,False,False,False,0
125,13,2025-11-29T15:00:00Z,9,15,3,3,False,False,False,0
126,13,2025-11-29T15:00:00Z,13,11,2,4,False,False,False,0
127,13,2025-11-29T15:00:00Z,16,6,3,3,False,False,False,0
129,13,2025-11-29T15:00:00Z,18,10,3,3,False,False,False,0
128,13,2025-11-29T15:00:00Z,17,4,3,2,False,False,False,0
130,13,2025-11-29T15:00:00Z,19,12,4,2,False,False,False,0
131,14,2025-12-03T20:00:00Z,1,5,3,4,False,False,False,0
132,14,2025-12-03T20:00:00Z,4,9,2,3,False,False,False,0
133,14,2025-12-03T20:00:00Z,6,2,3,3,False,False,False,0
134,14,2025-12-03T20:00:00Z,3,8,3,2,False,False,False,0
135,14,2025-12-03T20:00:00Z,10,13,4,3,False,False,False,0
136,14,2025-12-03T20:00:00Z,11,7,3,2,False,False,False,0
137,14,2025-12-03T20:00:00Z,12,17,2,5,False,False,False,0
138,14,2025-12-03T20:00:00Z,14,19,2,3,False,False,False,0
139,14,2025-12-03T20:00:00Z,15,18,3,4,False,False,False,0
140,14,2025-12-03T20:00:00Z,20,16,3,3,False,False,False,0
141,15,2025-12-06T15:00:00Z,2,1,4,4,False,False,False,0
142,15,2025-12-06T15:00:00Z,4,7,3,3,False,False,False,0
143,15,2025-12-06T15:00:00Z,6,19,2,3,False,False,False,0
144,15,2025-12-06T15:00:00Z,9,16,3,3,False,False,False,0
145,15,2025-12-06T15:00:00Z,10,8,3,3,False,False,False,0
146,15,2025-12-06T15:00:00Z,11,12,4,2,False,False,False,0
147,15,2025-12-06T15:00:00Z,13,17,2,4,False,False,False,0
148,15,2025-12-06T15:00:00Z,15,3,2,4,False,False,False,0
149,15,2025-12-06T15:00:00Z,18,5,3,3,False,False,False,0
150,15,2025-12-06T15:00:00Z,20,14,3,3,False,False,False,0
151,16,2025-12-13T15:00:00Z,1,20,2,4,False,False,False,0
152,16,2025-12-13T15:00:00Z,5,11,2,3,False,False,False,0
153,16,2025-12-13T15:00:00Z,3,10,3,2,False,False,False,0
154,16,2025-12-13T15:00:00Z,7,9,2,4,False,False,False,0
155,16,2025-12-13T15:00:00Z,8,13,4,3,False,False,False,0
156,16,2025-12-13T15:00:00Z,12,6,3,5,False,False,False,0
157,16,2025-12-13T15:00:00Z,14,4,3,3,False,False,False,0
158,16,2025-12-13T15:00:00Z,16,18,3,3,False,False,False,0
159,16,2025-12-13T15:00:00Z,17,15,3,2,False,False,False,0
160,16,2025-12-13T15:00:00Z,19,2,3,2,False,False,False,0
161,17,2025-12-20T15:00:00Z,2,14,3,4,False,False,False,0
162,17,2025-12-20T15:00:00Z,4,3,2,3,False,False,False,0
163,17,2025-12-20T15:00:00Z,6,17,2,3,False,False,False,0
164,17,2025-12-20T15:00:00Z,9,1,4,3,False,False,False,0
165,17,2025-12-20T15:00:00Z,10,16,3,3,False,False,False,0
166,17,2025-12-20T15:00:00Z,11,8,3,2,False,False,False,0
167,17,2025-12-20T15:00:00Z,13,19,2,4,False,False,False,0
168,17,2025-12-20T15:00:00Z,15,7,3,4,False,False,False,0
169,17,2025-12-20T15:00:00Z,18,12,4,3,False,False,False,0
170,17,2025-12-20T15:00:00Z,20,5,3,3,False,False,False,0
171,18,2025-12-27T15:00:00Z,1,6,3,4,False,False,False,0
172,18,2025-12-27T15:00:00Z,5,4,3,3,False,False,False,0
173,18,2025-12-27T15:00:00Z,3,9,2,2,False,False,False,0
174,18,2025-12-27T15:00:00Z,7,2,3,4,False,False,False,0
175,18,2025-12-27T15:00:00Z,8,18,3,3,False,False,False,0
176,18,2025-12-27T15:00:00Z,12,20,2,5,False,False,False,0
177,18,2025-12-27T15:00:00Z,14,15,3,3,False,False,False,0
178,18,2025-12-27T15:00:00Z,16,13,4,3,False,False,False,0
179,18,2025-12-27T15:00:00Z,17,11,2,2,False,False,False,0
180,18,2025-12-27T15:00:00Z,19,10,3,2,False,False,False,0
181,19,2025-12-30T20:00:00Z,1,2,3,4,False,False,False,0
182,19,2025-12-30T20:00:00Z,5,18,3,3,False,False,False,0
183,19,2025-12-30T20:00:00Z,3,15,3,2,False,False,False,0
184,19,2025-12-30T20:00:00Z,7,4,3,4,False,False,False,0
185,19,2025-12-30T20:00:00Z,8,10,3,3,False,False,False,0
186,19,2025-12-30T20:00:00Z,12,11,2,5,False,False,False,0
187,19,2025-12-30T20:00:00Z,14,20,2,3,False,False,False,0
188,19,2025-12-30T20:00:00Z,16,9,2,3,False,False,False,0
189,19,2025-12-30T20:00:00Z,17,13,4,2,False,False,False,0
190,19,2025-12-30T20:00:00Z,19,6,3,2,False,False,False,0
191,20,2026-01-03T15:00:00Z,2,16,3,4,False,False,False,0
192,20,2026-01-03T15:00:00Z,4,1,4,3,False,False,False,0
193,20,2026-01-03T15:00:00Z,6,3,2,3,False,False,False,0
194,20,2026-01-03T15:00:00Z,9,5,3,3,False,False,False,0
195,20,2026-01-03T15:00:00Z,10,12,4,3,False,False,False,0
196,20,2026-01-03T15:00:00Z,11,14,3,2,False,False,False,0
197,20,2026-01-03T15:00:00Z,13,7,3,4,False,False,False,0
