element,web_name,team_name,position,gw,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,in_dreamteam,team,element_type,player_id
28,Kabia,Arsenal,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,3,28
29,Sambi,Arsenal,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,3,29
30,Havertz,Arsenal,FWD,1,30,1,0,0,0,0,0,0,0,0,0,0,0,4,2.8,0.8,2.0,0.6,1,2,0,3,0,0.0,0.01,0.01,0.82,False,1,4,30
31,G.Jesus,Arsenal,FWD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,4,31
32,Martinez,Aston Villa,GK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,1,32
33,M.Bizot,Aston Villa,GK,1,90,7,0,0,1,0,0,0,0,0,0,3,0,29,19.6,0.0,0.0,2.0,1,12,0,0,1,0.0,0.0,0.0,1.43,False,2,1,33
34,Gauci,Aston Villa,GK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,1,34
35,Marschall,Aston Villa,GK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,1,35
36,Cash,Aston Villa,DEF,1,90,8,0,0,1,0,0,0,0,0,0,0,0,25,37.6,1.1,2.0,4.1,9,2,2,11,1,0.0,0.0,0.0,1.43,False,2,2,36
37,Digne,Aston Villa,DEF,1,90,6,0,0,1,0,0,0,0,0,0,0,0,22,11.6,5.8,0.0,1.7,5,3,2,7,1,0.0,0.01,0.01,1.43,False,2,2,37
38,Konsa,Aston Villa,DEF,1,65,3,0,0,1,0,0,0,0,0,1,0,0,15,1.8,1.1,0.0,0.3,3,1,0,3,1,0.0,0.01,0.01,1.11,False,2,2,38
39,Maatsen,Aston Villa,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,2,39
40,Mings,Aston Villa,DEF,1,90,6,0,0,1,0,0,0,0,0,0,0,0,25,13.0,3.7,0.0,1.7,5,2,0,5,1,0.0,0.0,0.0,1.43,False,2,2,40
41,Pau,Aston Villa,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,2,41
42,A.García,Aston Villa,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,2,42
43,Alex Moreno,Aston Villa,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,2,43
44,Bogarde,Aston Villa,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,2,44
45,Sousa,Aston Villa,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,2,45
46,Yasin,Aston Villa,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,2,46
47,Rogers,Aston Villa,MID,1,90,3,0,0,1,0,0,0,0,0,0,0,0,7,7.2,20.1,4.0,3.1,1,5,1,7,1,0.0,0.05,0.05,1.43,False,2,3,47
48,Tielemans,Aston Villa,MID,1,90,3,0,0,1,0,0,0,0,0,0,0,0,5,4.0,1.1,0.0,0.5,3,2,2,7,1,0.0,0.01,0.01,1.43,False,2,3,48
49,Bailey,Aston Villa,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,3,49
50,Buendía,Aston Villa,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,3,50
51,Iling Jr,Aston Villa,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,3,51
52,J.Ramsey,Newcastle,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,15,3,52
53,Malen,Aston Villa,MID,1,6,1,0,0,0,0,0,0,0,0,0,0,0,4,3.0,0.0,17.0,2.0,0,0,0,0,0,0.03,0.0,0.03,0.1,False,2,3,53
54,McGinn,Aston Villa,MID,1,83,3,0,0,1,0,0,0,0,0,0,0,0,10,5.0,19.3,6.0,3.0,0,7,0,7,1,0.0,0.09,0.09,1.33,False,2,3,54
55,Barkley,Aston Villa,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,3,55
56,Barrenechea,Aston Villa,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,3,56
57,Dobbin,Aston Villa,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,3,57
58,Kamara,Aston Villa,MID,1,90,2,0,0,1,0,0,0,0,1,0,0,0,13,13.8,2.2,17.0,3.3,3,6,2,11,1,0.05,0.03,0.08,1.43,False,2,3,58
59,Onana,Aston Villa,MID,1,90,5,0,0,1,0,0,0,0,0,0,0,0,19,19.4,3.0,0.0,2.2,5,7,2,14,1,0.0,0.01,0.01,1.43,False,2,3,59
60,Broggio,Aston Villa,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,3,60
61,Dendoncker,Aston Villa,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,3,61
62,Jimoh-Aloba,Aston Villa,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,3,62
63,Young,Aston Villa,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,3,63
64,Watkins,Aston Villa,FWD,1,90,2,0,0,1,0,0,0,0,0,0,0,0,12,10.6,12.2,27.0,5.0,2,3,0,5,1,0.12,0.01,0.13,1.43,False,2,4,64
65,Redmond,Aston Villa,FWD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,4,65
66,Neto,Bournemouth,GK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,4,1,66
67,Petrović,Bournemouth,GK,1,90,2,0,0,0,4,0,0,0,0,0,6,0,10,47.8,0.0,0.0,4.8,4,8,0,0,1,0.0,0.0,0.0,2.21,False,4,1,67
68,Dennis,Bournemouth,GK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,4,1,68
69,McKenna,Bournemouth,GK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,4,1,69
70,Paulsen,Bournemouth,GK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,4,1,70
71,Zabarnyi,Bournemouth,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,4,2,71
72,Senesi,Bournemouth,DEF,1,90,2,0,0,0,4,0,0,0,0,0,0,0,1,26.6,14.6,2.0,4.3,12,2,3,15,1,0.0,0.05,0.05,2.21,False,4,2,72
73,Smith,Bournemouth,DEF,1,89,1,0,0,0,3,0,0,0,0,0,0,0,2,12.2,10.5,4.0,2.7,8,2,1,9,1,0.0,0.08,0.08,2.1,False,4,2,73
74,Truffert,Bournemouth,DEF,1,90,0,0,0,0,4,0,0,0,0,0,0,0,-1,18.2,19.1,0.0,3.7,4,4,2,6,1,0.0,0.13,0.13,2.21,False,4,2,74
75,Akinmboni,Bournemouth,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,4,2,75
76,Bevan,Bournemouth,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,4,2,76
77,Hill,Bournemouth,DEF,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3.0,0.1,0.0,0.3,2,0,0,2,0,0.0,0.0,0.0,0.11,False,4,2,77
78,J.Araujo,Bournemouth,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,4,2,78
79,Mepham,Bournemouth,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,4,2,79
80,Soler,Bournemouth,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,4,2,80
81,Kluivert,Bournemouth,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,4,3,81
82,Semenyo,Bournemouth,MID,1,90,15,2,0,0,4,0,0,0,0,0,0,3,42,66.4,1.3,32.0,10.0,1,3,1,5,1,0.91,0.02,0.93,2.21,True,4,3,82
83,O.Dango,Brentford,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,5,3,83
84,Tavernier,Bournemouth,MID,1,90,4,0,0,0,4,0,0,0,0,0,0,0,20,24.6,14.1,33.0,7.2,7,10,3,20,1,0.32,0.06,0.38,2.21,False,4,3,84
85,Adams,Bournemouth,MID,1,90,4,0,0,0,3,0,0,0,0,0,0,0,11,21.6,1.7,4.0,2.7,8,6,5,19,1,0.0,0.1,0.1,2.1,False,4,3,85
86,Brooks,Bournemouth,MID,1,83,4,0,1,0,2,0,0,0,1,0,0,0,23,27.2,40.3,18.0,8.6,0,5,2,7,1,0.19,0.19,0.38,1.9,False,4,3,86
87,Christie,Bournemouth,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,4,3,87
88,Cook,Bournemouth,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,4,3,88
89,Philip,Bournemouth,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,4,3,89
90,Scott,Bournemouth,MID,1,73,2,0,0,0,2,0,0,0,0,0,0,0,7,2.0,2.1,2.0,0.6,1,2,0,3,1,0.0,0.0,0.0,1.81,False,4,3,90
91,Sinisterra,Bournemouth,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,4,3,91
92,Faivre,Bournemouth,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,4,3,92
93,H.Traorè,Bournemouth,MID,1,16,4,0,1,0,2,0,0,0,0,0,0,0,12,21.2,10.0,0.0,3.1,1,2,1,4,0,0.0,0.0,0.0,0.4,False,4,3,93
94,Sadi,Bournemouth,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,4,3,94
95,Silcott-Duberry,Bournemouth,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,4,3,95
96,Winterburn,Bournemouth,MID,1,6,1,0,0,0,2,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.31,False,4,3,96
97,Evanilson,Bournemouth,FWD,1,90,1,0,0,0,4,0,0,0,1,0,0,0,-1,0.0,0.6,17.0,1.6,3,2,0,5,1,0.29,0.0,0.29,2.21,False,4,4,97
98,Enes Ünal,Bournemouth,FWD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,4,4,98
99,Adu-Adjei,Bournemouth,FWD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,4,4,99
100,Kroupi.Jr,Bournemouth,FWD,1,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.11,False,4,4,100
101,Kelleher,Brentford,GK,1,90,1,0,0,0,3,0,0,0,0,0,2,0,4,11.8,0.0,0.0,1.2,4,14,0,0,1,0.0,0.0,0.0,1.86,False,5,1,101
102,Balcombe,Brentford,GK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,5,1,102
103,Cox,Brentford,GK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,5,1,103
104,Eyestone,Brentford,GK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,5,1,104
105,Valdimarsson,Brentford,GK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,5,1,105
106,Collins,Brentford,DEF,1,90,0,0,0,0,3,0,0,0,1,0,0,0,0,9.8,0.2,5.0,1.5,5,5,0,5,1,0.02,0.0,0.02,1.86,False,5,2,106
107,Lewis-Potter,Brentford,DEF,1,68,1,0,0,0,3,0,0,0,0,0,0,0,-8,5.4,4.5,7.0,1.7,3,2,2,5,1,0.12,0.0,0.12,1.86,False,5,2,107
108,Ajer,Brentford,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,5,2,108
109,Henry,Brentford,DEF,1,87,1,0,0,0,3,0,0,0,0,0,0,0,1,8.6,11.5,6.0,2.6,2,2,1,3,1,0.0,0.04,0.04,1.86,False,5,2,109
110,Kayode,Brentford,DEF,1,90,1,0,0,0,3,0,0,0,0,0,0,0,3,17.8,20.5,0.0,3.8,4,2,2,6,1,0.0,0.08,0.08,1.86,False,5,2,110
111,Pinnock,Brentford,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,5,2,111
112,Roerslev,Brentford,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,5,2,112
113,Van den Berg,Brentford,DEF,1,90,3,0,0,0,3,0,0,0,0,0,0,0,6,34.4,0.6,24.0,5.9,12,4,2,14,1,0.21,0.0,0.21,1.86,False,5,2,113
114,Arthur,Brentford,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,5,2,114
115,Fredrick,Brentford,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,5,2,115
116,Hickey,Brentford,DEF,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,2.0,0.0,0.0,0.2,1,0,1,2,0,0.0,0.0,0.0,0.0,False,5,2,116
117,Ji-soo,Brentford,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,5,2,117
118,Meghoma,Brentford,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,5,2,118
119,Mbeumo,Man Utd,MID,1,90,2,0,0,0,1,0,0,0,0,0,0,0,17,10.6,21.4,49.0,8.1,1,5,0,6,1,0.42,0.05,0.47,1.31,False,14,3,119
120,Schade,Brentford,MID,1,45,1,0,0,0,0,0,0,0,0,0,0,0,1,4.6,0.9,6.0,1.2,2,3,2,7,0,0.0,0.04,0.04,0.37,False,5,3,120
121,Damsgaard,Brentford,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,5,3,121
122,Milambo,Brentford,MID,1,45,1,0,0,0,3,0,0,0,0,0,0,0,5,4.0,1.8,0.0,0.6,0,2,2,4,1,0.0,0.01,0.01,1.49,False,5,3,122
123,Carvalho,Brentford,MID,1,90,2,0,0,0,3,0,0,0,0,0,0,0,7,5.4,5.0,3.0,1.3,0,4,3,7,1,0.03,0.03,0.06,1.86,False,5,3,123
124,Henderson,Brentford,MID,1,21,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,1.1,0.0,0.1,0,3,0,3,0,0.0,0.0,0.0,0.0,False,5,3,124
125,Janelt,Brentford,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,5,3,125
126,Jensen,Brentford,MID,1,68,2,0,0,0,3,0,0,0,0,0,0,0,10,9.0,25.4,8.0,4.2,2,1,2,5,1,0.13,0.03,0.16,1.86,False,5,3,126
127,Nunes,Brentford,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,5,3,127
128,Onyeka,Brentford,MID,1,21,4,0,1,0,0,0,0,0,0,0,0,0,9,0.0,0.1,2.0,0.1,0,1,0,1,0,0.0,0.0,0.0,0.0,False,5,3,128
129,Yarmoliuk,Brentford,MID,1,90,2,0,0,0,3,0,0,0,0,0,0,0,10,3.6,10.8,7.0,2.1,0,9,0,9,1,0.08,0.01,0.09,1.86,False,5,3,129
130,Donovan,Brentford,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,5,3,130
131,Konak,Brentford,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,5,3,131
132,Maghoma,Brentford,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,5,3,132
133,Peart-Harris,Brentford,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,5,3,133
134,Trevitt,Brentford,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,5,3,134
135,Wissa,Brentford,FWD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,5,4,135
136,Thiago,Brentford,FWD,1,90,6,1,0,0,3,0,0,0,0,0,0,0,17,36.4,10.7,22.0,6.9,1,0,1,2,1,0.91,0.01,0.92,1.86,False,5,4,136
137,Morgan,Brentford,FWD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,5,4,137
138,Steele,Brighton,GK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,6,1,138
139,Verbruggen,Brighton,GK,1,90,2,0,0,0,1,0,0,0,0,0,1,0,9,14.4,0.0,0.0,1.4,1,6,0,0,1,0.0,0.0,0.0,0.76,False,6,1,139
140,McGill,Brighton,GK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,6,1,140
