element,web_name,name,position,team,team_name,team_short,gw,event,fixture,kickoff_time,opponent_team,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,clearances_blocks_interceptions,defensive_contribution,element_type,in_dreamteam,recoveries,starts,tackles
44,Bogarde,Lamare Bogarde,DEF,2,Aston Villa,,1,1,2,2025-08-16T11:30:00Z,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
45,Sousa,Lino da Cruz Sousa,DEF,2,Aston Villa,,1,1,2,2025-08-16T11:30:00Z,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
46,Yasin,Yasin Özcan,DEF,2,Aston Villa,,1,1,2,2025-08-16T11:30:00Z,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
47,Rogers,Morgan Rogers,MID,2,Aston Villa,,1,1,2,2025-08-16T11:30:00Z,15,90,3,0,0,1,0,0,0,0,0,0,0,0,7,7.2,20.1,4.0,3.1,0.0,0.05,0.05,1.43,1,7,3,False,5,1,1
48,Tielemans,Youri Tielemans,MID,2,Aston Villa,,1,1,2,2025-08-16T11:30:00Z,15,90,3,0,0,1,0,0,0,0,0,0,0,0,5,4.0,1.1,0.0,0.5,0.0,0.01,0.01,1.43,3,7,3,False,2,1,2
49,Bailey,Leon Bailey,MID,2,Aston Villa,,1,1,2,2025-08-16T11:30:00Z,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
50,Buendía,Emiliano Buendía Stati,MID,2,Aston Villa,,1,1,2,2025-08-16T11:30:00Z,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
51,Iling Jr,Samuel Iling-Junior,MID,2,Aston Villa,,1,1,2,2025-08-16T11:30:00Z,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
52,J.Ramsey,Jacob Ramsey,MID,15,Newcastle,,1,1,2,2025-08-16T11:30:00Z,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
53,Malen,Donyell Malen,MID,2,Aston Villa,,1,1,2,2025-08-16T11:30:00Z,15,6,1,0,0,0,0,0,0,0,0,0,0,0,4,3.0,0.0,17.0,2.0,0.03,0.0,0.03,0.1,0,0,3,False,0,0,0
54,McGinn,John McGinn,MID,2,Aston Villa,,1,1,2,2025-08-16T11:30:00Z,15,83,3,0,0,1,0,0,0,0,0,0,0,0,10,5.0,19.3,6.0,3.0,0.0,0.09,0.09,1.33,0,7,3,False,7,1,0
55,Barkley,Ross Barkley,MID,2,Aston Villa,,1,1,2,2025-08-16T11:30:00Z,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
56,Barrenechea,Enzo Barrenechea,MID,2,Aston Villa,,1,1,2,2025-08-16T11:30:00Z,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
57,Dobbin,Lewis Dobbin,MID,2,Aston Villa,,1,1,2,2025-08-16T11:30:00Z,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
58,Kamara,Boubacar Kamara,MID,2,Aston Villa,,1,1,2,2025-08-16T11:30:00Z,15,90,2,0,0,1,0,0,0,0,1,0,0,0,13,13.8,2.2,17.0,3.3,0.05,0.03,0.08,1.43,3,11,3,False,6,1,2
59,Onana,Amadou Onana,MID,2,Aston Villa,,1,1,2,2025-08-16T11:30:00Z,15,90,5,0,0,1,0,0,0,0,0,0,0,0,19,19.4,3.0,0.0,2.2,0.0,0.01,0.01,1.43,5,14,3,False,7,1,2
60,Broggio,Ben Broggio,MID,2,Aston Villa,,1,1,2,2025-08-16T11:30:00Z,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
61,Dendoncker,Leander Dendoncker,MID,2,Aston Villa,,1,1,2,2025-08-16T11:30:00Z,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
