fixture,event,kickoff_time,minutes,finished,finished_provisional,started,team_a,team_a_difficulty,team_h,team_h_difficulty
218,22,2026-01-17T15:00:00Z,0,False,False,False,8,2,17,3
220,22,2026-01-17T15:00:00Z,0,False,False,False,15,3,20,3
221,23,2026-01-24T15:00:00Z,0,False,False,False,14,4,1,3
222,23,2026-01-24T15:00:00Z,0,False,False,False,12,3,4,4
223,23,2026-01-24T15:00:00Z,0,False,False,False,16,3,5,3
224,23,2026-01-24T15:00:00Z,0,False,False,False,18,2,3,3
225,23,2026-01-24T15:00:00Z,0,False,False,False,7,3,8,3
226,23,2026-01-24T15:00:00Z,0,False,False,False,11,3,9,2
227,23,2026-01-24T15:00:00Z,0,False,False,False,6,3,10,3
228,23,2026-01-24T15:00:00Z,0,False,False,False,20,4,13,2
229,23,2026-01-24T15:00:00Z,0,False,False,False,2,4,15,3
230,23,2026-01-24T15:00:00Z,0,False,False,False,17,2,19,2
231,24,2026-01-31T15:00:00Z,0,False,False,False,5,4,2,3
232,24,2026-01-31T15:00:00Z,0,False,False,False,9,3,6,2
233,24,2026-01-31T15:00:00Z,0,False,False,False,19,4,7,2
234,24,2026-01-31T15:00:00Z,0,False,False,False,1,2,11,4
235,24,2026-01-31T15:00:00Z,0,False,False,False,15,5,12,3
236,24,2026-01-31T15:00:00Z,0,False,False,False,10,3,14,3
237,24,2026-01-31T15:00:00Z,0,False,False,False,8,3,16,3
239,24,2026-01-31T15:00:00Z,0,False,False,False,13,3,18,4
238,24,2026-01-31T15:00:00Z,0,False,False,False,3,2,17,2
240,24,2026-01-31T15:00:00Z,0,False,False,False,4,3,20,3
241,25,2026-02-07T15:00:00Z,0,False,False,False,17,4,1,2
242,25,2026-02-07T15:00:00Z,0,False,False,False,2,3,4,3
243,25,2026-02-07T15:00:00Z,0,False,False,False,8,3,6,3
244,25,2026-02-07T15:00:00Z,0,False,False,False,19,2,3,2
245,25,2026-02-07T15:00:00Z,0,False,False,False,9,3,10,2
246,25,2026-02-07T15:00:00Z,0,False,False,False,16,2,11,3
247,25,2026-02-07T15:00:00Z,0,False,False,False,13,5,12,4
248,25,2026-02-07T15:00:00Z,0,False,False,False,18,3,14,3
249,25,2026-02-07T15:00:00Z,0,False,False,False,5,4,15,3
250,25,2026-02-07T15:00:00Z,0,False,False,False,7,3,20,3
251,26,2026-02-11T20:00:00Z,0,False,False,False,6,4,2,3
252,26,2026-02-11T20:00:00Z,0,False,False,False,1,3,5,4
253,26,2026-02-11T20:00:00Z,0,False,False,False,11,4,7,2
254,26,2026-02-11T20:00:00Z,0,False,False,False,3,3,8,2
255,26,2026-02-11T20:00:00Z,0,False,False,False,4,3,9,3
256,26,2026-02-11T20:00:00Z,0,False,False,False,10,4,13,3
257,26,2026-02-11T20:00:00Z,0,False,False,False,20,3,16,2
259,26,2026-02-11T20:00:00Z,0,False,False,False,15,3,18,3
258,26,2026-02-11T20:00:00Z,0,False,False,False,12,2,17,4
260,26,2026-02-11T20:00:00Z,0,False,False,False,14,2,19,3
261,27,2026-02-21T15:00:00Z,0,False,False,False,11,4,2,2
262,27,2026-02-21T15:00:00Z,0,False,False,False,6,3,5,3
263,27,2026-02-21T15:00:00Z,0,False,False,False,3,4,7,2
264,27,2026-02-21T15:00:00Z,0,False,False,False,20,3,8,2
265,27,2026-02-21T15:00:00Z,0,False,False,False,14,3,9,3
266,27,2026-02-21T15:00:00Z,0,False,False,False,15,4,13,3
267,27,2026-02-21T15:00:00Z,0,False,False,False,12,3,16,4
269,27,2026-02-21T15:00:00Z,0,False,False,False,1,3,18,4
268,27,2026-02-21T15:00:00Z,0,False,False,False,10,2,17,3
270,27,2026-02-21T15:00:00Z,0,False,False,False,4,2,19,3
271,28,2026-02-28T15:00:00Z,0,False,False,False,7,4,1,3
272,28,2026-02-28T15:00:00Z,0,False,False,False,17,3,4,2
273,28,2026-02-28T15:00:00Z,0,False,False,False,16,3,6,3
274,28,2026-02-28T15:00:00Z,0,False,False,False,5,2,3,3
275,28,2026-02-28T15:00:00Z,0,False,False,False,18,3,10,3
276,28,2026-02-28T15:00:00Z,0,False,False,False,13,2,11,4
277,28,2026-02-28T15:00:00Z,0,False,False,False,19,5,12,2
278,28,2026-02-28T15:00:00Z,0,False,False,False,8,3,14,3
279,28,2026-02-28T15:00:00Z,0,False,False,False,9,4,15,2
280,28,2026-02-28T15:00:00Z,0,False,False,False,2,3,20,3
281,29,2026-03-04T20:00:00Z,0,False,False,False,7,4,2,3
282,29,2026-03-04T20:00:00Z,0,False,False,False,5,3,4,3
283,29,2026-03-04T20:00:00Z,0,False,False,False,1,3,6,4
284,29,2026-03-04T20:00:00Z,0,False,False,False,3,3,9,2
285,29,2026-03-04T20:00:00Z,0,False,False,False,19,3,10,2
286,29,2026-03-04T20:00:00Z,0,False,False,False,17,2,11,2
287,29,2026-03-04T20:00:00Z,0,False,False,False,16,4,13,3
288,29,2026-03-04T20:00:00Z,0,False,False,False,14,4,15,3
289,29,2026-03-04T20:00:00Z,0,False,False,False,8,3,18,3
290,29,2026-03-04T20:00:00Z,0,False,False,False,12,3,20,4
291,30,2026-03-14T15:00:00Z,0,False,False,False,9,4,1,2
292,30,2026-03-14T15:00:00Z,0,False,False,False,20,3,5,2
293,30,2026-03-14T15:00:00Z,0,False,False,False,4,2,3,3
294,30,2026-03-14T15:00:00Z,0,False,False,False,15,4,7,3
295,30,2026-03-14T15:00:00Z,0,False,False,False,11,3,8,2
296,30,2026-03-14T15:00:00Z,0,False,False,False,18,5,12,3
297,30,2026-03-14T15:00:00Z,0,False,False,False,2,3,14,3
298,30,2026-03-14T15:00:00Z,0,False,False,False,10,3,16,3
299,30,2026-03-14T15:00:00Z,0,False,False,False,6,2,17,3
