id,first_name,second_name,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,selected_by_percent,status,news,chance_of_playing_next_round,chance_of_playing_this_round
196,Shurandy,Sambo,Sambo,3,2,40,0,0,202,1991,0.1,u,Has joined Sparta Rotterdam on loan for the rest of the season.,0.0,
197,Oliver,Sonne,Sonne,3,2,40,0,0,1368,1264,0.2,a,,,
198,Axel,Tuanzebe,Tuanzebe,3,2,40,0,0,3175,19823,2.3,a,,,
199,Joe,Worrall,Worrall,3,2,40,0,0,321,1359,0.1,a,,,
200,Jaidon,Anthony,Anthony,3,3,55,0,0,2032,1734,0.1,a,,,
201,Manuel,Benson Hedilazio,Benson,3,3,55,0,0,110,429,0.0,a,,,
202,Jacob,Bruun Larsen,Bruun Larsen,3,3,55,0,0,223,768,0.0,a,,,
203,Enock,Agyei,Boateng,3,3,50,0,0,233,871,0.1,a,,,
204,Darko,Churlinov,Churlinov,3,3,50,0,0,45,360,0.0,a,,,
205,Josh,Cullen,Cullen,3,3,50,0,0,2891,920,0.1,a,,,
206,Marcus,Edwards,Edwards,3,3,50,0,0,261,1409,0.1,a,,,
207,Hannibal,Mejbri,Hannibal,3,3,50,0,0,843,1794,0.1,a,,,
208,Luca,Koleosho,Koleosho,3,3,50,0,0,65,573,0.0,a,,,
209,Josh,Laurent,Laurent,3,3,50,0,0,194,352,0.0,a,,,
210,Loum,Tchaouna,Tchaouna,3,3,50,0,0,46,341,0.0,a,,,
211,Aaron,Ramsey,A.Ramsey,3,3,45,0,0,31925,93914,9.0,a,,,
212,Oluwaseun,Adewumi,Adewumi,3,3,45,0,0,0,980,0.0,u,Has joined Cercle Brugge on loan for the rest of the season.,0.0,0.0
213,Jaydon,Banel,Banel,3,3,45,0,0,227,490,0.0,a,,,
214,Mike,Trésor Ndayishimiye,Trésor,3,3,45,0,0,385,929,0.1,a,,,
215,Zian,Flemming,Flemming,3,4,55,0,0,1642,2826,0.2,a,,,
216,Zeki,Amdouni,Amdouni,3,4,50,0,0,131,1819,0.0,i,Knee injury - Unknown return date,0.0,0.0
217,Lyle,Foster,Foster,3,4,50,0,0,19588,8808,0.5,a,,,
218,Ashley,Barnes,Barnes,3,4,45,0,0,11093,24369,2.3,a,,,
219,Michael,Obafemi,Obafemi,3,4,45,0,0,2043,4300,0.4,a,,,
470,Martin,Dúbravka,Dúbravka,3,1,40,0,0,128324,38934,34.6,a,,100.0,100.0
676,Lesley,Ugochukwu,Ugochukwu,3,3,50,0,0,250,562,0.0,a,,100.0,100.0
680,Armando,Broja,Broja,3,4,55,0,0,2261,3778,0.2,a,,100.0,100.0
66,Norberto,Murara Neto,Neto,4,1,45,0,0,0,5762,0.2,u,Has joined Botafogo permanently.,0.0,0.0
67,Đorđe,Petrović,Petrović,4,1,45,0,0,50977,21895,3.6,a,,,
68,Will,Dennis,Dennis,4,1,40,0,0,7134,4543,1.1,a,,,
69,Callan,McKenna,McKenna,4,1,40,0,0,962,996,0.2,a,,,
70,Alex,Paulsen,Paulsen,4,1,40,0,0,693,719,0.1,a,,,
71,Illia,Zabarnyi,Zabarnyi,4,2,50,0,0,0,4674,0.1,u,Has joined Paris Saint-Germain permanently.,0.0,0.0
72,Marcos,Senesi Barón,Senesi,4,2,45,0,0,42452,9452,1.3,a,,,
73,Adam,Smith,Smith,4,2,45,0,0,9649,2958,0.4,a,,,
74,Adrien,Truffert,Truffert,4,2,45,0,0,32847,8887,1.0,a,,,
75,Matai,Akinmboni,Akinmboni,4,2,40,0,0,1928,2685,0.3,a,,,
76,Owen,Bevan,Bevan,4,2,40,0,0,636,1585,0.2,a,,,
77,James,Hill,Hill,4,2,40,0,0,9781,6891,0.8,a,,,
78,Julián,Araujo Zúñiga,J.Araujo,4,2,40,0,0,6398,10974,1.3,a,,,
79,Chris,Mepham,Mepham,4,2,40,0,0,579,1687,0.2,a,,,
80,Julio,Soler Barreto,Soler,4,2,40,0,0,1202,2388,0.3,a,,,
81,Justin,Kluivert,Kluivert,4,3,70,0,0,287,33984,0.6,i,Calf injury - Unknown return date,0.0,0.0
82,Antoine,Semenyo,Semenyo,4,3,71,1,1,767392,42336,14.9,a,,,
84,Marcus,Tavernier,Tavernier,4,3,55,0,0,20319,7405,0.6,a,,,
85,Tyler,Adams,Adams,4,3,50,0,0,6533,3890,0.3,a,,,
86,David,Brooks,Brooks,4,3,50,0,0,10353,3158,0.2,a,,,
87,Ryan,Christie,Christie,4,3,50,0,0,71,2270,0.1,i,Lack of match fitness - Expected back 23 Aug,0.0,0.0
88,Lewis,Cook,Cook,4,3,50,0,0,42,298,0.0,s,Suspended until 30 Aug,0.0,0.0
89,Philip,Billing,Philip,4,3,50,0,0,380,1304,0.1,a,,,
90,Alex,Scott,Scott,4,3,50,0,0,1162,1145,0.1,a,,,
91,Luis,Sinisterra Lucumí,Sinisterra,4,3,50,0,0,99,1159,0.0,d,Lack of match fitness - 25% chance of playing,25.0,25.0
92,Romain,Faivre,Faivre,4,3,45,0,0,1562,2615,0.2,a,,,
93,Hamed,Traorè,H.Traorè,4,3,45,0,0,70053,17165,1.2,a,,,
94,Dominic,Sadi,Sadi,4,3,45,0,0,435,763,0.1,a,,,
95,Zain,Silcott-Duberry,Silcott-Duberry,4,3,45,0,0,323,1043,0.1,a,,,
96,Ben,Winterburn,Winterburn,4,3,45,0,0,1819,1122,0.1,a,,,
97,Francisco Evanilson,de Lima Barbosa,Evanilson,4,4,70,0,0,70440,31850,2.5,a,,,
98,Enes,Ünal,Enes Ünal,4,4,55,0,0,128,293,0.0,i,Knee injury - Unknown return date,0.0,0.0
99,Daniel,Adu-Adjei,Adu-Adjei,4,4,45,0,0,3026,4081,0.3,a,,,
100,Eli Junior,Kroupi,Kroupi.Jr,4,4,45,0,0,42208,17515,1.3,a,,,
391,Ben,Gannon-Doak,Gannon-Doak,4,3,50,0,0,1855,936,0.1,a,,,
685,Bafodé,Diakité,Diakité,4,2,45,0,0,6100,1770,0.2,a,,,
687,Remy,Rees-Dottin,Rees-Dottin,4,3,45,0,0,4345,1462,0.1,a,,,
697,Amine,Adli,Adli,4,3,55,0,0,318,49,0.0,a,,,
83,Dango,Ouattara,O.Dango,5,3,60,0,0,799,2600,0.1,a,,100.0,50.0
101,Caoimhín,Kelleher,Kelleher,5,1,45,0,0,24082,71274,10.3,a,,100.0,75.0
102,Ellery,Balcombe,Balcombe,5,1,40,0,0,1809,1596,0.3,a,,,
103,Matthew,Cox,Cox,5,1,40,0,0,640,805,0.2,a,,,
104,Julian,Eyestone,Eyestone,5,1,40,0,0,249,477,0.1,a,,,
105,Hákon Rafn,Valdimarsson,Valdimarsson,5,1,40,0,0,1589,4624,1.0,a,,,
106,Nathan,Collins,Collins,5,2,50,0,0,4349,18071,1.6,a,,,
107,Keane,Lewis-Potter,Lewis-Potter,5,2,50,0,0,2543,3897,0.4,a,,,
108,Kristoffer,Ajer,Ajer,5,2,45,0,0,885,2192,0.2,a,,,
109,Rico,Henry,Henry,5,2,45,0,0,1111,1364,0.2,a,,,
110,Michael,Kayode,Kayode,5,2,45,0,0,1055,1578,0.2,a,,,
111,Ethan,Pinnock,Pinnock,5,2,45,0,0,591,4068,0.2,d,Knock - 75% chance of playing,75.0,
112,Mads,Roerslev Rasmussen,Roerslev,5,2,45,0,0,204,630,0.0,a,,,
113,Sepp,van den Berg,Van den Berg,5,2,45,0,0,4441,3133,0.4,a,,,
114,Benjamin,Arthur,Arthur,5,2,40,0,0,1505,2557,0.3,a,,,
115,Benjamin,Fredrick,Fredrick,5,2,40,0,0,542,1411,0.2,a,,,
116,Aaron,Hickey,Hickey,5,2,40,0,0,1547,3422,0.5,a,,,
117,Kim,Ji-soo,Ji-soo,5,2,40,0,0,391,1409,0.2,a,,,
118,Jayden,Meghoma,Meghoma,5,2,40,0,0,279,2303,0.1,u,Has joined Rangers on loan for the rest of the season.,0.0,
120,Kevin,Schade,Schade,5,3,70,0,0,1555,4711,0.3,a,,100.0,75.0
121,Mikkel,Damsgaard,Damsgaard,5,3,59,-1,-1,1796,22502,0.9,a,,,
122,Antoni,Milambo,Milambo,5,3,55,0,0,383,987,0.1,a,,,
123,Fábio,Freitas Gouveia Carvalho,Carvalho,5,3,50,0,0,2620,3979,0.3,a,,,
124,Jordan,Henderson,Henderson,5,3,50,0,0,1459,4125,0.3,a,,,
125,Vitaly,Janelt,Janelt,5,3,50,0,0,29,546,0.0,i,Heel Injury - Unknown return date,0.0,0.0
126,Mathias,Jensen,Jensen,5,3,50,0,0,494,1026,0.1,a,,,
127,Gustavo,Nunes Fernandes Gomes,Nunes,5,3,50,0,0,27,321,0.0,i,Hamstring injury - Unknown return date,0.0,0.0
128,Frank,Onyeka,Onyeka,5,3,50,0,0,1400,672,0.1,a,,,
129,Yehor,Yarmoliuk,Yarmoliuk,5,3,50,0,0,201,506,0.0,a,,,
130,Romelle,Donovan,Donovan,5,3,45,0,0,973,1413,0.1,a,,,
131,Yunus Emre,Konak,Konak,5,3,45,0,0,470,1917,0.2,a,,,
132,Paris,Maghoma,Maghoma,5,3,45,0,0,61,728,0.0,i,Unknown - Unknown return date,0.0,0.0
133,Myles,Peart-Harris,Peart-Harris,5,3,45,0,0,326,515,0.0,a,,,
134,Ryan,Trevitt,Trevitt,5,3,45,0,0,0,291,0.0,u,Has joined Wigan on loan for the rest of the season,0.0,0.0
135,Yoane,Wissa,Wissa,5,4,75,0,0,4367,91930,1.7,n,Won’t be considered for selection against Nottingham Forest on 17/8. - Unknown return date,0.0,0.0
136,Igor Thiago,Nascimento Rodrigues,Thiago,5,4,60,0,0,24990,11324,1.1,a,,,
137,Iwan,Morgan,Morgan,5,4,45,0,0,3843,5683,0.5,a,,,
138,Jason,Steele,Steele,6,1,45,0,0,1232,5486,0.5,a,,,
139,Bart,Verbruggen,Verbruggen,6,1,45,0,0,30190,46374,7.4,a,,,
140,Tom,McGill,McGill,6,1,40,0,0,1940,2086,0.4,a,,,
141,Carl,Rushworth,Rushworth,6,1,40,0,0,0,67,0.0,u,Has joined Coventry City on loan for the rest of the season.,0.0,0.0
142,Kjell,Scherpen,Scherpen,6,1,40,0,0,0,59,0.0,u,Has joined Union SG permanently,0.0,0.0
143,Olivier,Boscagli,Boscagli,6,2,45,0,0,661,1928,0.1,a,,,
144,Diego,Coppola,Coppola,6,2,45,0,0,213,1084,0.1,a,,,
145,Maxim,De Cuyper,De Cuyper,6,2,45,0,0,27473,37879,6.0,a,,,
146,Lewis,Dunk,Dunk,6,2,45,0,0,11941,8566,1.3,a,,,
147,Pervis,Estupiñán Tenorio,Estupiñan,6,2,45,0,0,0,959,0.0,u,Has joined AC Milan permanently,0.0,0.0
148,Ferdi,Kadıoğlu,F.Kadıoğlu,6,2,45,0,0,899,3192,0.2,a,,,
149,Igor Julio,dos Santos de Paulo,Igor,6,2,45,0,0,308,526,0.1,a,,100.0,100.0
150,Tariq,Lamptey,Lamptey,6,2,45,0,0,1433,5560,0.4,a,,,
151,Jan Paul,van Hecke,Van Hecke,6,2,45,0,0,5744,8597,1.2,a,,,
152,Joël,Veltman,Veltman,6,2,45,0,0,451,3760,0.2,a,,,
153,Adam,Webster,Webster,6,2,45,0,0,74,401,0.0,i,Knee injury - Unknown return date,0.0,0.0
154,Eiran,Cashin,Cashin,6,2,40,0,0,0,259,0.0,u,Has joined Birmingham on loan for the rest of the season.,0.0,0.0
155,Jacob,Slater,Slater,6,2,40,0,0,813,1784,0.2,a,,,
156,Charlie,Tasker,Tasker,6,2,40,0,0,573,1464,0.2,a,,,
157,Mitoma,Kaoru,Mitoma,6,3,65,0,0,18702,99380,6.3,a,,,
158,Georginio,Rutter,Georginio,6,3,60,0,0,17478,20351,1.4,a,,,
159,Solly,March,March,6,3,59,-1,-1,45,941,0.0,i,Knee injury - Unknown return date,0.0,0.0
160,Yankuba,Minteh,Minteh,6,3,60,0,0,4281,20900,1.0,a,,,
161,Julio,Enciso Espínola,Enciso,6,3,55,0,0,45,1348,0.0,i,Knee injury - Expected back 18 Oct,0.0,0.0
162,Brajan,Gruda,Gruda,6,3,55,0,0,218,831,0.0,a,,,
163,Jack,Hinshelwood,Hinshelwood,6,3,54,-1,-1,156,2408,0.1,a,,,
164,Matt,O'Riley,O'Riley,6,3,55,0,0,99272,19376,1.7,a,,,
165,Abdallah,Sima,Sima,6,3,55,0,0,117,451,0.0,a,,,
166,Yasin,Ayari,Ayari,6,3,50,0,0,1341,2433,0.2,a,,,
167,Carlos,Baleba,Baleba,6,3,50,0,0,27504,49224,4.6,a,,,
168,Facundo,Buonanotte,Buonanotte,6,3,50,0,0,211,3612,0.2,a,,,
169,Diego,Gómez Amarilla,Gomez,6,3,50,0,0,227,884,0.1,a,,,
170,James,Milner,Milner,6,3,50,0,0,648,1521,0.1,a,,,
171,Jeremy,Sarmiento Morante,Sarmiento,6,3,50,0,0,55,562,0.0,a,,,
172,Tom,Watson,Watson,6,3,50,0,0,123,345,0.0,a,,100.0,100.0
173,Mats,Wieffer,Wieffer,6,3,50,0,0,1263,907,0.1,a,,,
174,Malick,Yalcouyé,Yalcouye,6,3,50,0,0,0,609,0.0,u,Has joined Swansea City on loan for the rest of the season.,0.0,0.0
175,Joe,Knight,Knight,6,3,45,0,0,672,1098,0.1,a,,,
176,Adrian,Mazilu,Mazilu,6,3,45,0,0,252,527,0.0,a,,,
177,Andrew,Moran,Moran,6,3,45,0,0,473,761,0.1,a,,,
178,Danny,Welbeck,Welbeck,6,4,65,0,0,13544,89481,3.7,a,,,
179,Evan,Ferguson,Ferguson,6,4,55,0,0,0,762,0.0,u,Has joined AS Roma on loan for the rest of the season,0.0,0.0
180,Stefanos,Tzimas,Tzimas,6,4,55,0,0,1236,2904,0.1,a,,,
181,Charalampos,Kostoulas,Kostoulas,6,4,50,0,0,3258,7263,0.4,a,,,
220,Robert,Lynch Sánchez,Sánchez,7,1,50,0,0,134775,77920,25.4,a,,,
221,Filip,Jörgensen,Jörgensen,7,1,45,0,0,719,2548,0.2,a,,,
222,Mike,Penders,Penders,7,1,40,0,0,0,110,0.0,u,Has joined RC Strasbourg on loan for the rest of the season.,0.0,0.0
223,Gabriel,Słonina,Slonina,7,1,40,0,0,620,856,0.1,a,,,
224,Marc,Cucurella Saseta,Cucurella,7,2,60,0,0,279875,76591,21.7,a,,,
225,Reece,James,James,7,2,55,0,0,62738,33285,5.9,a,,,
226,Trevoh,Chalobah,Chalobah,7,2,50,0,0,32312,13103,1.4,a,,,
227,Levi,Samuels Colwill,Colwill,7,2,49,-1,-1,160,14535,0.3,i,Anterior cruciate ligament - Unknown return date,0.0,0.0
228,Malo,Gusto,Gusto,7,2,50,0,0,9629,27173,1.6,a,,,
229,Benoît,Badiashile Mukinayi,B.Badiashile,7,2,45,0,0,46,648,0.0,i,Knock - Unknown return date,0.0,0.0
230,Wesley,Fofana,Fofana,7,2,45,0,0,1102,4360,0.2,a,,100.0,75.0
231,Mamadou,Sarr,M.Sarr,7,2,45,0,0,0,910,0.0,u,Has joined RC Strasbourg on loan for the rest of the season.,0.0,0.0
232,Tosin,Adarabioyo,Tosin,7,2,45,0,0,7194,23039,1.1,a,,100.0,
233,Josh,Acheampong,Acheampong,7,2,40,0,0,178272,23703,2.4,a,,,
234,Aarón,Anselmino,Anselmino,7,2,40,0,0,505,1479,0.1,a,,,
235,Cole,Palmer,Palmer,7,3,105,0,0,96680,317427,59.1,a,,,
236,Pedro,Lomba Neto,Neto,7,3,70,0,0,20662,46273,3.6,a,,,
237,Enzo,Fernández,Enzo,7,3,65,0,0,15057,49699,3.4,a,,,
238,Estêvão,Almeida de Oliveira Gonçalves,Estêvão,7,3,65,0,0,13927,36629,1.5,a,,,
239,Jamie,Bynoe-Gittens,Gittens,7,3,65,0,0,2263,6423,0.3,a,,,
240,Christopher,Nkunku,Nkunku,7,3,60,0,0,1608,5430,0.2,a,,,
241,Moisés,Caicedo Corozo,Caicedo,7,3,55,0,0,42791,57986,5.5,a,,,
243,Tyrique,George,George,7,3,50,0,0,388,900,0.1,a,,,
244,Roméo,Lavia,Lavia,7,3,50,0,0,32,904,0.0,i,Muscle injury - Unknown return date,0.0,0.0
245,Mykhailo,Mudryk,Mudryk,7,3,50,0,0,99,192,0.0,s,Suspended - unknown return date,0.0,0.0
246,Andrey,Nascimento dos Santos,Andrey Santos,7,3,45,0,0,6303,5091,0.3,a,,,
247,Dário,Luís Essugo,D.Essugo,7,3,45,0,0,489,787,0.1,a,,,
248,Kendry,Páez Andrade,Paez,7,3,45,0,0,0,401,0.0,u,Has joined RC Strasbourg on loan for the rest of the season.,0.0,0.0
249,João Pedro,Junqueira de Jesus,João Pedro,7,4,75,0,0,143533,382542,51.9,a,,,
250,Liam,Delap,Delap,7,4,65,0,0,15804,65264,3.6,a,,,
251,Nicolas,Jackson,N.Jackson,7,4,65,0,0,2692,1447,0.2,a,,100.0,0.0
672,Jorrel,Hato,Hato,7,2,50,0,0,1924,6175,0.3,a,,,
253,Dean,Henderson,Henderson,8,1,50,0,0,35676,28262,7.3,a,,,
254,Walter,Benítez,Benitez,8,1,40,0,0,1828,2130,0.4,a,,,
255,Remi,Matthews,Matthews,8,1,40,0,0,373,576,0.1,a,,,
256,Daniel,Muñoz Mejía,Muñoz,8,2,55,0,0,66940,45234,8.7,a,,,
257,Maxence,Lacroix,Lacroix,8,2,50,0,0,28737,11183,1.4,a,,,
258,Tyrick,Mitchell,Mitchell,8,2,50,0,0,42792,11568,1.7,a,,,
259,Borna,Sosa,Sosa,8,2,50,0,0,796,1816,0.1,a,,,
260,Marc,Guéhi,Guéhi,8,2,45,0,0,126063,50009,13.2,a,,,
261,Chris,Richards,Richards,8,2,45,0,0,23882,10619,1.6,a,,,
262,Chadi,Riad Dnanou,Chadi Riad,8,2,40,0,0,69,116,0.0,i,Knee injury - Unknown return date,0.0,0.0
263,Nathaniel,Clyne,Clyne,8,2,40,0,0,2044,5345,0.7,a,,,
264,Rob,Holding,Holding,8,2,40,0,0,0,1345,0.0,u,Has joined Colorado Rapids permanently.,0.0,0.0
265,Caleb,Kporha,Kporha,8,2,40,0,0,62,578,0.0,i,Back injury - Unknown return date,0.0,0.0
266,Eberechi,Eze,Eze,8,3,75,0,0,90565,136729,10.5,a,,,
267,Ismaïla,Sarr,Sarr,8,3,65,0,0,23708,57349,4.6,a,,,
268,Cheick,Doucouré,Doucouré,8,3,50,0,0,28,94,0.0,i,Knee injury - Unknown return date,0.0,0.0
269,Romain,Esse,Esse,8,3,50,0,0,1652,4001,0.2,a,,,
270,Will,Hughes,Hughes,8,3,50,0,0,762,1261,0.1,a,,,
271,Daichi,Kamada,Kamada,8,3,50,0,0,35,552,0.0,i,Knee injury - Expected back 24 Aug,0.0,0.0
272,Jefferson,Lerma Solís,Lerma,8,3,50,0,0,191,788,0.1,a,,,
273,Adam,Wharton,Wharton,8,3,50,0,0,6640,6140,0.6,a,,,
274,Asher,Agbinone,Agbinone,8,3,45,0,0,396,714,0.1,a,,,
275,Naouirou,Ahamada,Ahamada,8,3,45,0,0,315,529,0.0,a,,,
276,Justin,Devenny,Devenny,8,3,45,0,0,6288,16437,1.7,a,,,
277,Malcolm,Ebiowei,Ebiowei,8,3,45,0,0,0,280,0.0,u,Has joined Blackpool permanently.,0.0,0.0
278,Jesurun,Rak-Sakyi,J.Rak-Sakyi,8,3,45,0,0,468,858,0.1,a,,,
279,Matheus,França de Oliveira,M.França,8,3,45,0,0,48,437,0.0,i,Muscle injury - Expected back 24 Aug,0.0,0.0
280,David,Ozoh,Ozoh,8,3,45,0,0,0,67,0.0,u,Has joined Derby County on loan for the rest of the season.,0.0,0.0
281,Kaden,Rodney,Rodney,8,3,45,0,0,324,543,0.0,a,,,
282,Franco,Umeh-Chibueze,Umeh,8,3,45,0,0,189,369,0.0,a,,,
283,Jean-Philippe,Mateta,Mateta,8,4,75,0,0,67942,96793,8.8,a,,,
284,Eddie,Nketiah,Nketiah,8,4,55,0,0,347,13202,0.3,i,Hamstring injury - Expected back 18 Oct,0.0,0.0
285,Odsonne,Édouard,Édouard,8,4,50,0,0,5271,12609,0.9,a,,,
