id,web_name,team_name,position,price_m,transfers_in,transfers_out,transfers_in_event,transfers_out_event,selected_by_percent,status,minutes,total_points,event_points,form,ict_index,first_name,second_name,team,now_cost,chance_of_playing_next_round,cost_change_event,cost_change_start,cost_change_event_fall,cost_change_start_fall,in_dreamteam,element_type
662,Mosquera,Arsenal,DEF,5.5,364,1893,364,1893,0.1,a,0,0,0,0.0,0.0,Cristhian,Mosquera,1,55,,0,0,0,0,False,2
666,Gyökeres,Arsenal,FWD,9.0,157565,230520,157565,230520,24.8,a,59,1,1,1.0,1.2,Viktor,Gyökeres,1,90,,0,0,0,0,False,4
32,Martinez,Aston Villa,GK,5.0,18372,6321,18372,6321,1.1,a,0,0,0,0.0,0.0,Emiliano,Martínez Romero,2,50,100.0,0,0,0,0,False,1
33,M.Bizot,Aston Villa,GK,4.5,42998,11851,42998,11851,0.9,a,90,7,7,7.0,2.0,Marco,Bizot,2,45,,0,0,0,0,False,1
34,Gauci,Aston Villa,GK,4.0,0,3599,0,3599,0.2,u,0,0,0,0.0,0.0,Joe,Gauci,2,40,0.0,0,0,0,0,False,1
35,Marschall,Aston Villa,GK,4.0,0,304,0,304,0.0,u,0,0,0,0.0,0.0,Filip,Marschall,2,40,0.0,0,0,0,0,False,1
36,Cash,Aston Villa,DEF,4.5,215748,32585,215748,32585,4.5,a,90,8,8,8.0,4.1,Matty,Cash,2,45,,0,0,0,0,False,2
37,Digne,Aston Villa,DEF,4.5,42869,11407,42869,11407,2.3,a,90,6,6,6.0,1.7,Lucas,Digne,2,45,,0,0,0,0,False,2
38,Konsa,Aston Villa,DEF,4.5,18353,442328,18353,442328,17.0,s,65,3,3,3.0,0.3,Ezri,Konsa Ngoyo,2,45,0.0,0,0,0,0,False,2
39,Maatsen,Aston Villa,DEF,4.5,3202,12780,3202,12780,0.8,a,0,0,0,0.0,0.0,Ian,Maatsen,2,45,,0,0,0,0,False,2
40,Mings,Aston Villa,DEF,4.5,36743,7852,36743,7852,1.3,a,90,6,6,6.0,1.7,Tyrone,Mings,2,45,,0,0,0,0,False,2
41,Pau,Aston Villa,DEF,4.5,3095,6478,3095,6478,0.5,a,0,0,0,0.0,0.0,Pau,Torres,2,45,,0,0,0,0,False,2
42,A.García,Aston Villa,DEF,4.0,407,4712,407,4712,0.3,d,0,0,0,0.0,0.0,Andrés,García,2,40,25.0,0,0,0,0,False,2
43,Alex Moreno,Aston Villa,DEF,4.0,28372,74167,28372,74167,9.2,a,0,0,0,0.0,0.0,Álex,Moreno Lopera,2,40,,0,0,0,0,False,2
44,Bogarde,Aston Villa,DEF,4.0,1585,2766,1585,2766,0.3,a,0,0,0,0.0,0.0,Lamare,Bogarde,2,40,,0,0,0,0,False,2
45,Sousa,Aston Villa,DEF,4.0,1858,2864,1858,2864,0.4,a,0,0,0,0.0,0.0,Lino,da Cruz Sousa,2,40,,0,0,0,0,False,2
46,Yasin,Aston Villa,DEF,4.0,1042,2021,1042,2021,0.2,a,0,0,0,0.0,0.0,Yasin,Özcan,2,40,,0,0,0,0,False,2
47,Rogers,Aston Villa,MID,7.0,79736,102074,79736,102074,9.7,a,90,3,3,3.0,3.1,Morgan,Rogers,2,70,100.0,0,0,0,0,False,3
48,Tielemans,Aston Villa,MID,6.0,15218,29772,15218,29772,2.2,a,90,3,3,3.0,0.5,Youri,Tielemans,2,60,,0,0,0,0,False,3
49,Bailey,Aston Villa,MID,5.5,2168,16105,2168,16105,0.4,u,0,0,0,0.0,0.0,Leon,Bailey,2,55,0.0,0,0,0,0,False,3
50,Buendía,Aston Villa,MID,5.4,393,4402,393,4402,0.1,a,0,0,0,0.0,0.0,Emiliano,Buendía Stati,2,54,,-1,-1,1,1,False,3
51,Iling Jr,Aston Villa,MID,5.5,148,489,148,489,0.0,a,0,0,0,0.0,0.0,Samuel,Iling-Junior,2,55,,0,0,0,0,False,3
53,Malen,Aston Villa,MID,5.4,4691,41320,4691,41320,1.5,a,6,1,1,1.0,2.0,Donyell,Malen,2,54,,-1,-1,1,1,False,3
54,McGinn,Aston Villa,MID,5.5,7409,8949,7409,8949,0.7,a,83,3,3,3.0,3.0,John,McGinn,2,55,,0,0,0,0,False,3
55,Barkley,Aston Villa,MID,5.0,83,2578,83,2578,0.1,d,0,0,0,0.0,0.0,Ross,Barkley,2,50,25.0,0,0,0,0,False,3
56,Barrenechea,Aston Villa,MID,5.0,0,9,0,9,0.0,u,0,0,0,0.0,0.0,Enzo,Barrenechea,2,50,0.0,0,0,0,0,False,3
57,Dobbin,Aston Villa,MID,5.0,507,943,507,943,0.1,a,0,0,0,0.0,0.0,Lewis,Dobbin,2,50,,0,0,0,0,False,3
58,Kamara,Aston Villa,MID,5.0,2679,3110,2679,3110,0.2,a,90,2,2,2.0,3.3,Boubacar,Kamara,2,50,,0,0,0,0,False,3
59,Onana,Aston Villa,MID,5.0,34147,20500,34147,20500,1.9,a,90,5,5,5.0,2.2,Amadou,Onana,2,50,,0,0,0,0,False,3
60,Broggio,Aston Villa,MID,4.5,2882,3811,2882,3811,0.3,a,0,0,0,0.0,0.0,Ben,Broggio,2,45,,0,0,0,0,False,3
61,Dendoncker,Aston Villa,MID,4.5,2169,5704,2169,5704,0.3,u,0,0,0,0.0,0.0,Leander,Dendoncker,2,45,0.0,0,0,0,0,False,3
62,Jimoh-Aloba,Aston Villa,MID,4.5,410,661,410,661,0.1,a,0,0,0,0.0,0.0,Jamaldeen,Jimoh-Aloba,2,45,,0,0,0,0,False,3
63,Young,Aston Villa,MID,4.5,5796,8657,5796,8657,0.7,a,0,0,0,0.0,0.0,Kadan,Young,2,45,,0,0,0,0,False,3
64,Watkins,Aston Villa,FWD,9.0,112127,236295,112127,236295,25.4,a,90,2,2,2.0,5.0,Ollie,Watkins,2,90,,0,0,0,0,False,4
65,Redmond,Aston Villa,FWD,4.5,9515,10664,9515,10664,0.9,a,0,0,0,0.0,0.0,Zépiqueno,Redmond,2,45,,0,0,0,0,False,4
677,Guessand,Aston Villa,MID,6.5,326,1685,326,1685,0.1,a,0,0,0,0.0,0.0,Evann,Guessand,2,65,,0,0,0,0,False,3
688,Wright,Aston Villa,GK,4.0,10733,1309,10733,1309,0.4,a,0,0,0,0.0,0.0,James,Wright,2,40,,0,0,0,0,False,1
183,Weiss,Burnley,GK,4.5,578,1739,578,1739,0.2,a,0,0,0,0.0,0.0,Max,Weiß,3,45,,0,0,0,0,False,1
184,Green,Burnley,GK,4.0,2100,2130,2100,2130,0.4,a,0,0,0,0.0,0.0,Etienne,Green,3,40,,0,0,0,0,False,1
185,Hladký,Burnley,GK,4.0,663,1197,663,1197,0.2,a,0,0,0,0.0,0.0,Václav,Hladký,3,40,,0,0,0,0,False,1
186,Roberts,Burnley,DEF,4.5,387,1200,387,1200,0.1,a,0,0,0,0.0,0.0,Connor,Roberts,3,45,,0,0,0,0,False,2
187,Walker,Burnley,DEF,4.5,13382,17342,13382,17342,1.9,a,90,1,1,1.0,1.0,Kyle,Walker,3,45,,0,0,0,0,False,2
188,Delcroix,Burnley,DEF,4.0,1017,2722,1017,2722,0.3,a,0,0,0,0.0,0.0,Hannes,Delcroix,3,40,,0,0,0,0,False,2
189,Dodgson,Burnley,DEF,4.0,0,771,0,771,0.0,u,0,0,0,0.0,0.0,Owen,Dodgson,3,40,0.0,0,0,0,0,False,2
190,Ekdal,Burnley,DEF,4.0,3848,2093,3848,2093,0.3,a,90,1,1,1.0,1.8,Hjalmar,Ekdal,3,40,,0,0,0,0,False,2
191,Estève,Burnley,DEF,4.0,69297,71291,69297,71291,19.6,a,90,1,1,1.0,3.7,Maxime,Estève,3,40,,0,0,0,0,False,2
192,Hartman,Burnley,DEF,4.0,5445,3778,5445,3778,0.5,a,90,1,1,1.0,2.7,Quilindschy,Hartman,3,40,,0,0,0,0,False,2
193,Humphreys,Burnley,DEF,4.0,103,927,103,927,0.1,d,0,0,0,0.0,0.0,Bashir,Humphreys,3,40,25.0,0,0,0,0,False,2
194,Jordan,Burnley,DEF,4.0,517,1606,517,1606,0.2,a,0,0,0,0.0,0.0,Jordan,Beyer,3,40,,0,0,0,0,False,2
195,Lucas Pires,Burnley,DEF,4.0,260,1445,260,1445,0.2,a,0,0,0,0.0,0.0,Lucas,Pires Silva,3,40,,0,0,0,0,False,2
196,Sambo,Burnley,DEF,4.0,202,1775,202,1775,0.1,u,0,0,0,0.0,0.0,Shurandy,Sambo,3,40,0.0,0,0,0,0,False,2
197,Sonne,Burnley,DEF,4.0,1290,1165,1290,1165,0.2,a,73,1,1,1.0,2.7,Oliver,Sonne,3,40,,0,0,0,0,False,2
198,Tuanzebe,Burnley,DEF,4.0,3041,18274,3041,18274,2.3,a,0,0,0,0.0,0.0,Axel,Tuanzebe,3,40,,0,0,0,0,False,2
199,Worrall,Burnley,DEF,4.0,298,1273,298,1273,0.1,a,0,0,0,0.0,0.0,Joe,Worrall,3,40,,0,0,0,0,False,2
200,Anthony,Burnley,MID,5.5,1752,1566,1752,1566,0.1,a,84,2,2,2.0,6.5,Jaidon,Anthony,3,55,,0,0,0,0,False,3
201,Benson,Burnley,MID,5.5,102,389,102,389,0.0,a,0,0,0,0.0,0.0,Manuel,Benson Hedilazio,3,55,,0,0,0,0,False,3
202,Bruun Larsen,Burnley,MID,5.5,194,662,194,662,0.0,a,27,1,1,1.0,1.2,Jacob,Bruun Larsen,3,55,,0,0,0,0,False,3
203,Boateng,Burnley,MID,5.0,223,811,223,811,0.1,a,0,0,0,0.0,0.0,Enock,Agyei,3,50,,0,0,0,0,False,3
204,Churlinov,Burnley,MID,5.0,40,334,40,334,0.0,a,0,0,0,0.0,0.0,Darko,Churlinov,3,50,,0,0,0,0,False,3
205,Cullen,Burnley,MID,5.0,2456,827,2456,827,0.1,a,90,4,4,4.0,8.3,Josh,Cullen,3,50,,0,0,0,0,False,3
206,Edwards,Burnley,MID,5.0,245,1316,245,1316,0.1,a,5,1,1,1.0,0.0,Marcus,Edwards,3,50,,0,0,0,0,False,3
207,Hannibal,Burnley,MID,5.0,781,1704,781,1704,0.1,a,62,2,2,2.0,0.6,Hannibal,Mejbri,3,50,,0,0,0,0,False,3
208,Koleosho,Burnley,MID,5.0,61,533,61,533,0.0,a,0,0,0,0.0,0.0,Luca,Koleosho,3,50,,0,0,0,0,False,3
209,Laurent,Burnley,MID,5.0,169,325,169,325,0.0,a,62,2,2,2.0,4.2,Josh,Laurent,3,50,,0,0,0,0,False,3
210,Tchaouna,Burnley,MID,5.0,44,321,44,321,0.0,a,16,1,1,1.0,0.4,Loum,Tchaouna,3,50,,0,0,0,0,False,3
211,A.Ramsey,Burnley,MID,4.5,30691,88326,30691,88326,9.1,a,0,0,0,0.0,0.0,Aaron,Ramsey,3,45,,0,0,0,0,False,3
212,Adewumi,Burnley,MID,4.5,0,922,0,922,0.0,u,0,0,0,0.0,0.0,Oluwaseun,Adewumi,3,45,0.0,0,0,0,0,False,3
213,Banel,Burnley,MID,4.5,209,454,209,454,0.0,a,0,0,0,0.0,0.0,Jaydon,Banel,3,45,,0,0,0,0,False,3
214,Trésor,Burnley,MID,4.5,365,874,365,874,0.1,a,0,0,0,0.0,0.0,Mike,Trésor Ndayishimiye,3,45,,0,0,0,0,False,3
215,Flemming,Burnley,FWD,5.5,1555,2633,1555,2633,0.2,a,16,1,1,1.0,0.0,Zian,Flemming,3,55,,0,0,0,0,False,4
216,Amdouni,Burnley,FWD,5.0,124,1725,124,1725,0.0,i,0,0,0,0.0,0.0,Zeki,Amdouni,3,50,0.0,0,0,0,0,False,4
217,Foster,Burnley,FWD,5.0,18130,8120,18130,8120,0.5,a,73,2,2,2.0,3.8,Lyle,Foster,3,50,,0,0,0,0,False,4
218,Barnes,Burnley,FWD,4.5,10604,23049,10604,23049,2.4,a,0,0,0,0.0,0.0,Ashley,Barnes,3,45,,0,0,0,0,False,4
219,Obafemi,Burnley,FWD,4.5,1934,4027,1934,4027,0.4,a,0,0,0,0.0,0.0,Michael,Obafemi,3,45,,0,0,0,0,False,4
470,Dúbravka,Burnley,GK,4.0,119505,36495,119505,36495,34.6,a,90,2,2,2.0,2.6,Martin,Dúbravka,3,40,100.0,0,0,0,0,False,1
676,Ugochukwu,Burnley,MID,5.0,230,532,230,532,0.0,a,27,1,1,1.0,0.1,Lesley,Ugochukwu,3,50,100.0,0,0,0,0,False,3
680,Broja,Burnley,FWD,5.5,2180,3531,2180,3531,0.2,a,0,0,0,0.0,0.0,Armando,Broja,3,55,100.0,0,0,0,0,False,4
66,Neto,Bournemouth,GK,4.5,0,5601,0,5601,0.2,u,0,0,0,0.0,0.0,Norberto,Murara Neto,4,45,0.0,0,0,0,0,False,1
67,Petrović,Bournemouth,GK,4.5,47042,20423,47042,20423,3.6,a,90,2,2,2.0,4.8,Đorđe,Petrović,4,45,,0,0,0,0,False,1
68,Dennis,Bournemouth,GK,4.0,6780,4280,6780,4280,1.1,a,0,0,0,0.0,0.0,Will,Dennis,4,40,,0,0,0,0,False,1
69,McKenna,Bournemouth,GK,4.0,905,916,905,916,0.2,a,0,0,0,0.0,0.0,Callan,McKenna,4,40,,0,0,0,0,False,1
70,Paulsen,Bournemouth,GK,4.0,652,684,652,684,0.1,a,0,0,0,0.0,0.0,Alex,Paulsen,4,40,,0,0,0,0,False,1
71,Zabarnyi,Bournemouth,DEF,5.0,0,4522,0,4522,0.1,u,0,0,0,0.0,0.0,Illia,Zabarnyi,4,50,0.0,0,0,0,0,False,2
72,Senesi,Bournemouth,DEF,4.5,36110,8602,36110,8602,1.2,a,90,2,2,2.0,4.3,Marcos,Senesi Barón,4,45,,0,0,0,0,False,2
73,Smith,Bournemouth,DEF,4.5,9091,2816,9091,2816,0.4,a,89,1,1,1.0,2.7,Adam,Smith,4,45,,0,0,0,0,False,2
74,Truffert,Bournemouth,DEF,4.5,29313,8185,29313,8185,1.0,a,90,0,0,0.0,3.7,Adrien,Truffert,4,45,,0,0,0,0,False,2
75,Akinmboni,Bournemouth,DEF,4.0,1824,2518,1824,2518,0.3,a,0,0,0,0.0,0.0,Matai,Akinmboni,4,40,,0,0,0,0,False,2
76,Bevan,Bournemouth,DEF,4.0,597,1503,597,1503,0.2,a,0,0,0,0.0,0.0,Owen,Bevan,4,40,,0,0,0,0,False,2
77,Hill,Bournemouth,DEF,4.0,9326,6430,9326,6430,0.8,a,1,1,1,1.0,0.3,James,Hill,4,40,,0,0,0,0,False,2
78,J.Araujo,Bournemouth,DEF,4.0,6096,10323,6096,10323,1.3,a,0,0,0,0.0,0.0,Julián,Araujo Zúñiga,4,40,,0,0,0,0,False,2
79,Mepham,Bournemouth,DEF,4.0,544,1587,544,1587,0.2,a,0,0,0,0.0,0.0,Chris,Mepham,4,40,,0,0,0,0,False,2
80,Soler,Bournemouth,DEF,4.0,1152,2239,1152,2239,0.3,a,0,0,0,0.0,0.0,Julio,Soler Barreto,4,40,,0,0,0,0,False,2
81,Kluivert,Bournemouth,MID,7.0,283,32625,283,32625,0.6,i,0,0,0,0.0,0.0,Justin,Kluivert,4,70,0.0,0,0,0,0,False,3
82,Semenyo,Bournemouth,MID,7.1,708483,39341,708483,39341,14.2,a,90,15,15,15.0,10.0,Antoine,Semenyo,4,71,,1,1,-1,-1,True,3
84,Tavernier,Bournemouth,MID,5.5,18263,6842,18263,6842,0.5,a,90,4,4,4.0,7.2,Marcus,Tavernier,4,55,,0,0,0,0,False,3
85,Adams,Bournemouth,MID,5.0,6107,3684,6107,3684,0.3,a,90,4,4,4.0,2.7,Tyler,Adams,4,50,,0,0,0,0,False,3
86,Brooks,Bournemouth,MID,5.0,9405,2930,9405,2930,0.2,a,83,4,4,4.0,8.6,David,Brooks,4,50,,0,0,0,0,False,3
87,Christie,Bournemouth,MID,5.0,67,2151,67,2151,0.1,i,0,0,0,0.0,0.0,Ryan,Christie,4,50,0.0,0,0,0,0,False,3
88,Cook,Bournemouth,MID,5.0,39,278,39,278,0.0,s,0,0,0,0.0,0.0,Lewis,Cook,4,50,0.0,0,0,0,0,False,3
89,Philip,Bournemouth,MID,5.0,358,1231,358,1231,0.1,a,0,0,0,0.0,0.0,Philip,Billing,4,50,,0,0,0,0,False,3
90,Scott,Bournemouth,MID,5.0,1104,1088,1104,1088,0.1,a,73,2,2,2.0,0.6,Alex,Scott,4,50,,0,0,0,0,False,3
91,Sinisterra,Bournemouth,MID,5.0,94,1115,94,1115,0.0,d,0,0,0,0.0,0.0,Luis,Sinisterra Lucumí,4,50,25.0,0,0,0,0,False,3
92,Faivre,Bournemouth,MID,4.5,1496,2495,1496,2495,0.2,a,0,0,0,0.0,0.0,Romain,Faivre,4,45,,0,0,0,0,False,3
93,H.Traorè,Bournemouth,MID,4.5,65019,15798,65019,15798,1.2,a,16,4,4,4.0,3.1,Hamed,Traorè,4,45,,0,0,0,0,False,3
94,Sadi,Bournemouth,MID,4.5,424,729,424,729,0.1,a,0,0,0,0.0,0.0,Dominic,Sadi,4,45,,0,0,0,0,False,3
95,Silcott-Duberry,Bournemouth,MID,4.5,307,978,307,978,0.1,a,0,0,0,0.0,0.0,Zain,Silcott-Duberry,4,45,,0,0,0,0,False,3
96,Winterburn,Bournemouth,MID,4.5,1713,1064,1713,1064,0.1,a,6,1,1,1.0,0.0,Ben,Winterburn,4,45,,0,0,0,0,False,3
97,Evanilson,Bournemouth,FWD,7.0,61803,29592,61803,29592,2.4,a,90,1,1,1.0,1.6,Francisco Evanilson,de Lima Barbosa,4,70,,0,0,0,0,False,4
98,Enes Ünal,Bournemouth,FWD,5.5,121,279,121,279,0.0,i,0,0,0,0.0,0.0,Enes,Ünal,4,55,0.0,0,0,0,0,False,4
99,Adu-Adjei,Bournemouth,FWD,4.5,2889,3864,2889,3864,0.3,a,0,0,0,0.0,0.0,Daniel,Adu-Adjei,4,45,,0,0,0,0,False,4
100,Kroupi.Jr,Bournemouth,FWD,4.5,39395,16251,39395,16251,1.3,a,1,1,1,1.0,0.0,Eli Junior,Kroupi,4,45,,0,0,0,0,False,4
391,Gannon-Doak,Bournemouth,MID,5.0,1769,876,1769,876,0.1,a,0,0,0,0.0,0.0,Ben,Gannon-Doak,4,50,,0,0,0,0,False,3
685,Diakité,Bournemouth,DEF,4.5,5484,1629,5484,1629,0.2,a,90,0,0,0.0,1.5,Bafodé,Diakité,4,45,,0,0,0,0,False,2
687,Rees-Dottin,Bournemouth,MID,4.5,4263,1417,4263,1417,0.1,a,0,0,0,0.0,0.0,Remy,Rees-Dottin,4,45,,0,0,0,0,False,3
697,Adli,Bournemouth,MID,5.5,223,27,223,27,0.0,a,0,0,0,0.0,0.0,Amine,Adli,4,55,,0,0,0,0,False,3
83,O.Dango,Brentford,MID,6.0,683,2491,683,2491,0.1,a,0,0,0,0.0,0.0,Dango,Ouattara,5,60,100.0,0,0,0,0,False,3
101,Kelleher,Brentford,GK,4.5,22441,68094,22441,68094,10.4,a,90,1,1,1.0,1.2,Caoimhín,Kelleher,5,45,100.0,0,0,0,0,False,1
102,Balcombe,Brentford,GK,4.0,1753,1514,1753,1514,0.3,a,0,0,0,0.0,0.0,Ellery,Balcombe,5,40,,0,0,0,0,False,1
103,Cox,Brentford,GK,4.0,619,748,619,748,0.2,a,0,0,0,0.0,0.0,Matthew,Cox,5,40,,0,0,0,0,False,1
104,Eyestone,Brentford,GK,4.0,239,440,239,440,0.1,a,0,0,0,0.0,0.0,Julian,Eyestone,5,40,,0,0,0,0,False,1
105,Valdimarsson,Brentford,GK,4.0,1520,4283,1520,4283,1.0,a,0,0,0,0.0,0.0,Hákon Rafn,Valdimarsson,5,40,,0,0,0,0,False,1
106,Collins,Brentford,DEF,5.0,4108,16869,4108,16869,1.6,a,90,0,0,0.0,1.5,Nathan,Collins,5,50,,0,0,0,0,False,2
107,Lewis-Potter,Brentford,DEF,5.0,2329,3630,2329,3630,0.4,a,68,1,1,1.0,1.7,Keane,Lewis-Potter,5,50,,0,0,0,0,False,2
108,Ajer,Brentford,DEF,4.5,845,2047,845,2047,0.2,a,0,0,0,0.0,0.0,Kristoffer,Ajer,5,45,,0,0,0,0,False,2
109,Henry,Brentford,DEF,4.5,1012,1282,1012,1282,0.2,a,87,1,1,1.0,2.6,Rico,Henry,5,45,,0,0,0,0,False,2
110,Kayode,Brentford,DEF,4.5,955,1484,955,1484,0.2,a,90,1,1,1.0,3.8,Michael,Kayode,5,45,,0,0,0,0,False,2
111,Pinnock,Brentford,DEF,4.5,581,3716,581,3716,0.2,d,0,0,0,0.0,0.0,Ethan,Pinnock,5,45,75.0,0,0,0,0,False,2
112,Roerslev,Brentford,DEF,4.5,190,578,190,578,0.0,a,0,0,0,0.0,0.0,Mads,Roerslev Rasmussen,5,45,,0,0,0,0,False,2
113,Van den Berg,Brentford,DEF,4.5,3958,2925,3958,2925,0.4,a,90,3,3,3.0,5.9,Sepp,van den Berg,5,45,,0,0,0,0,False,2
114,Arthur,Brentford,DEF,4.0,1435,2373,1435,2373,0.3,a,0,0,0,0.0,0.0,Benjamin,Arthur,5,40,,0,0,0,0,False,2
115,Fredrick,Brentford,DEF,4.0,509,1320,509,1320,0.2,a,0,0,0,0.0,0.0,Benjamin,Fredrick,5,40,,0,0,0,0,False,2
116,Hickey,Brentford,DEF,4.0,1478,3185,1478,3185,0.5,a,2,0,0,0.0,0.2,Aaron,Hickey,5,40,,0,0,0,0,False,2
117,Ji-soo,Brentford,DEF,4.0,361,1307,361,1307,0.2,a,0,0,0,0.0,0.0,Kim,Ji-soo,5,40,,0,0,0,0,False,2
118,Meghoma,Brentford,DEF,4.0,279,2029,279,2029,0.1,u,0,0,0,0.0,0.0,Jayden,Meghoma,5,40,0.0,0,0,0,0,False,2
120,Schade,Brentford,MID,7.0,1266,4369,1266,4369,0.3,a,45,1,1,1.0,1.2,Kevin,Schade,5,70,100.0,0,0,0,0,False,3
121,Damsgaard,Brentford,MID,6.0,1673,21470,1673,21470,0.9,a,0,0,0,0.0,0.0,Mikkel,Damsgaard,5,60,,0,0,0,0,False,3
122,Milambo,Brentford,MID,5.5,364,936,364,936,0.1,a,45,1,1,1.0,0.6,Antoni,Milambo,5,55,,0,0,0,0,False,3
123,Carvalho,Brentford,MID,5.0,2419,3731,2419,3731,0.3,a,90,2,2,2.0,1.3,Fábio,Freitas Gouveia Carvalho,5,50,,0,0,0,0,False,3
124,Henderson,Brentford,MID,5.0,1407,3889,1407,3889,0.3,a,21,1,1,1.0,0.1,Jordan,Henderson,5,50,,0,0,0,0,False,3
