id,web_name,team,position,now_cost,ownership,NTI_1h,NTI_24h,momentum,status,price_freeze,forecast,risk_up,risk_down,eta_window
100,Kroupi.Jr,4,4,45,1.4,1860.0,3364.0,up,a,0,stable,0.0,0.0,48h+
391,Gannon-Doak,4,3,50,0.1,-42.0,-61.0,down,a,0,stable,0.0,0.0,48h+
685,Diakité,4,2,45,0.5,-1181.0,-2113.0,down,d,1,stable,0.0,0.0,48h+
687,Rees-Dottin,4,3,45,0.1,-54.0,-80.0,down,a,0,stable,0.0,0.0,48h+
697,Adli,4,3,55,0.0,-13.0,-14.0,down,a,0,stable,0.0,0.0,48h+
713,A.Jimenez,4,2,45,0.0,12.0,12.0,up,a,0,stable,0.0,0.0,48h+
721,Milosavljević,4,2,45,0.0,164.0,296.0,up,a,0,stable,0.0,0.0,48h+
27,Nelson,5,3,49,0.1,-34.0,-27.0,down,a,0,stable,0.0,0.0,48h+
83,O.Dango,5,3,60,0.9,-784.0,-1083.0,down,a,0,stable,0.0,0.0,48h+
101,Kelleher,5,1,45,9.1,-2814.0,-4974.0,down,a,0,stable,0.0,0.0,48h+
102,Balcombe,5,1,40,0.3,-17.0,-45.0,down,a,0,stable,0.0,0.0,48h+
103,Cox,5,1,40,0.1,-8.0,-17.0,down,a,0,stable,0.0,0.0,48h+
104,Eyestone,5,1,40,0.1,-17.0,-32.0,down,a,0,stable,0.0,0.0,48h+
105,Valdimarsson,5,1,40,0.8,-288.0,-475.0,down,a,0,stable,0.0,0.0,48h+
106,Collins,5,2,50,1.5,-510.0,-865.0,down,a,0,stable,0.0,0.0,48h+
107,Lewis-Potter,5,2,50,0.4,-112.0,-196.0,down,a,0,stable,0.0,0.0,48h+
108,Ajer,5,2,44,0.2,37.0,58.0,up,a,0,stable,0.0,0.0,48h+
109,Henry,5,2,45,0.1,-45.0,-90.0,down,a,0,stable,0.0,0.0,48h+
110,Kayode,5,2,45,0.4,-120.0,-180.0,down,a,0,stable,0.0,0.0,48h+
111,Pinnock,5,2,44,0.1,-6.0,-43.0,down,a,0,stable,0.0,0.0,48h+
112,Roerslev,5,2,45,0.0,-15.0,-36.0,down,u,1,stable,0.0,0.0,48h+
113,Van den Berg,5,2,45,0.7,-251.0,-492.0,down,a,0,stable,0.0,0.0,48h+
114,Arthur,5,2,40,0.3,-70.0,-133.0,down,a,0,stable,0.0,0.0,48h+
115,Fredrick,5,2,40,0.1,-49.0,-96.0,down,a,0,stable,0.0,0.0,48h+
116,Hickey,5,2,40,0.4,0.0,2.0,flat,a,0,stable,0.0,0.0,48h+
117,Ji-soo,5,2,40,0.1,-56.0,-87.0,down,a,0,stable,0.0,0.0,48h+
118,Meghoma,5,2,40,0.1,-49.0,-101.0,down,u,1,stable,0.0,0.0,48h+
120,Schade,5,3,70,0.4,901.0,1650.0,up,a,0,stable,0.0,0.0,48h+
121,Damsgaard,5,3,59,0.7,-718.0,-1240.0,down,a,0,stable,0.0,0.0,48h+
122,Milambo,5,3,54,0.0,-21.0,-28.0,down,a,0,stable,0.0,0.0,48h+
123,Carvalho,5,3,49,0.3,775.0,1463.0,up,a,0,stable,0.0,0.0,48h+
124,Henderson,5,3,50,0.3,594.0,1050.0,up,a,0,stable,0.0,0.0,48h+
125,Janelt,5,3,49,0.0,6.0,13.0,up,a,0,stable,0.0,0.0,48h+
126,Jensen,5,3,49,0.1,-36.0,-41.0,down,a,0,stable,0.0,0.0,48h+
127,Nunes,5,3,49,0.0,-5.0,-8.0,down,d,1,stable,0.0,0.0,48h+
128,Onyeka,5,3,50,0.1,-40.0,-65.0,down,a,0,stable,0.0,0.0,48h+
129,Yarmoliuk,5,3,50,0.1,2.0,13.0,up,a,0,stable,0.0,0.0,48h+
130,Donovan,5,3,45,0.1,-15.0,-29.0,down,a,0,stable,0.0,0.0,48h+
131,Konak,5,3,44,0.2,199.0,353.0,up,a,0,stable,0.0,0.0,48h+
132,Maghoma,5,3,45,0.0,-11.0,-17.0,down,d,1,stable,0.0,0.0,48h+
133,Peart-Harris,5,3,45,0.0,-1.0,-4.0,down,a,0,stable,0.0,0.0,48h+
134,Trevitt,5,3,45,0.0,-3.0,-9.0,down,u,1,stable,0.0,0.0,48h+
136,Thiago,5,4,60,1.7,1457.0,2612.0,up,a,0,stable,0.0,0.0,48h+
137,Morgan,5,4,44,0.4,290.0,445.0,up,a,0,stable,0.0,0.0,48h+
138,Steele,6,1,44,0.4,-182.0,-299.0,down,a,0,stable,0.0,0.0,48h+
139,Verbruggen,6,1,45,5.4,-3163.0,-5721.0,down,a,0,stable,0.0,0.0,48h+
140,McGill,6,1,40,0.4,-81.0,-102.0,down,a,0,stable,0.0,0.0,48h+
141,Rushworth,6,1,40,0.0,-2.0,-2.0,down,u,1,stable,0.0,0.0,48h+
142,Scherpen,6,1,40,0.0,0.0,-2.0,flat,u,1,stable,0.0,0.0,48h+
