id,web_name,first_name,second_name,team,element_type,team_name
148,F.Kadıoğlu,Ferdi,Kadıoğlu,6,2,Brighton
149,Igor,Igor Julio,dos Santos de Paulo,6,2,Brighton
150,Lamptey,Tariq,Lamptey,6,2,Brighton
151,Van Hecke,Jan Paul,van Hecke,6,2,Brighton
152,Veltman,Joël,Veltman,6,2,Brighton
153,Webster,Adam,Webster,6,2,Brighton
154,Cashin,Eiran,Cashin,6,2,Brighton
155,Slater,Jacob,Slater,6,2,Brighton
156,Tasker,Charlie,Tasker,6,2,Brighton
157,Mitoma,Mitoma,Kaoru,6,3,Brighton
158,Georginio,Georginio,Rutter,6,3,Brighton
159,March,Solly,March,6,3,Brighton
160,Minteh,Yankuba,Minteh,6,3,Brighton
161,Enciso,Julio,Enciso Espínola,6,3,Brighton
162,Gruda,Brajan,Gruda,6,3,Brighton
163,Hinshelwood,Jack,Hinshelwood,6,3,Brighton
164,O'Riley,Matt,O'Riley,6,3,Brighton
165,Sima,Abdallah,Sima,6,3,Brighton
166,Ayari,Yasin,Ayari,6,3,Brighton
167,Baleba,Carlos,Baleba,6,3,Brighton
168,Buonanotte,Facundo,Buonanotte,6,3,Brighton
169,Gomez,Diego,Gómez Amarilla,6,3,Brighton
170,Milner,James,Milner,6,3,Brighton
171,Sarmiento,Jeremy,Sarmiento Morante,6,3,Brighton
172,Watson,Tom,Watson,6,3,Brighton
173,Wieffer,Mats,Wieffer,6,3,Brighton
174,Yalcouye,Malick,Yalcouyé,6,3,Brighton
175,Knight,Joe,Knight,6,3,Brighton
176,Mazilu,Adrian,Mazilu,6,3,Brighton
177,Moran,Andrew,Moran,6,3,Brighton
178,Welbeck,Danny,Welbeck,6,4,Brighton
179,Ferguson,Evan,Ferguson,6,4,Brighton
180,Tzimas,Stefanos,Tzimas,6,4,Brighton
181,Kostoulas,Charalampos,Kostoulas,6,4,Brighton
220,Sánchez,Robert,Lynch Sánchez,7,1,Chelsea
221,Jörgensen,Filip,Jörgensen,7,1,Chelsea
222,Penders,Mike,Penders,7,1,Chelsea
223,Slonina,Gabriel,Słonina,7,1,Chelsea
224,Cucurella,Marc,Cucurella Saseta,7,2,Chelsea
225,James,Reece,James,7,2,Chelsea
226,Chalobah,Trevoh,Chalobah,7,2,Chelsea
227,Colwill,Levi,Samuels Colwill,7,2,Chelsea
228,Gusto,Malo,Gusto,7,2,Chelsea
229,B.Badiashile,Benoît,Badiashile Mukinayi,7,2,Chelsea
230,Fofana,Wesley,Fofana,7,2,Chelsea
231,M.Sarr,Mamadou,Sarr,7,2,Chelsea
232,Tosin,Tosin,Adarabioyo,7,2,Chelsea
233,Acheampong,Josh,Acheampong,7,2,Chelsea
234,Anselmino,Aarón,Anselmino,7,2,Chelsea
235,Palmer,Cole,Palmer,7,3,Chelsea
236,Neto,Pedro,Lomba Neto,7,3,Chelsea
237,Enzo,Enzo,Fernández,7,3,Chelsea
238,Estêvão,Estêvão,Almeida de Oliveira Gonçalves,7,3,Chelsea
239,Gittens,Jamie,Bynoe-Gittens,7,3,Chelsea
240,Nkunku,Christopher,Nkunku,7,3,Chelsea
241,Caicedo,Moisés,Caicedo Corozo,7,3,Chelsea
243,George,Tyrique,George,7,3,Chelsea
244,Lavia,Roméo,Lavia,7,3,Chelsea
245,Mudryk,Mykhailo,Mudryk,7,3,Chelsea
246,Andrey Santos,Andrey,Nascimento dos Santos,7,3,Chelsea
247,D.Essugo,Dário,Luís Essugo,7,3,Chelsea
248,Paez,Kendry,Páez Andrade,7,3,Chelsea
249,João Pedro,João Pedro,Junqueira de Jesus,7,4,Chelsea
250,Delap,Liam,Delap,7,4,Chelsea
251,N.Jackson,Nicolas,Jackson,7,4,Chelsea
672,Hato,Jorrel,Hato,7,2,Chelsea
253,Henderson,Dean,Henderson,8,1,Crystal Palace
254,Benitez,Walter,Benítez,8,1,Crystal Palace
255,Matthews,Remi,Matthews,8,1,Crystal Palace
256,Muñoz,Daniel,Muñoz Mejía,8,2,Crystal Palace
257,Lacroix,Maxence,Lacroix,8,2,Crystal Palace
258,Mitchell,Tyrick,Mitchell,8,2,Crystal Palace
259,Sosa,Borna,Sosa,8,2,Crystal Palace
260,Guéhi,Marc,Guéhi,8,2,Crystal Palace
261,Richards,Chris,Richards,8,2,Crystal Palace
262,Chadi Riad,Chadi,Riad Dnanou,8,2,Crystal Palace
263,Clyne,Nathaniel,Clyne,8,2,Crystal Palace
264,Holding,Rob,Holding,8,2,Crystal Palace
265,Kporha,Caleb,Kporha,8,2,Crystal Palace
266,Eze,Eberechi,Eze,8,3,Crystal Palace
267,Sarr,Ismaïla,Sarr,8,3,Crystal Palace
268,Doucouré,Cheick,Doucouré,8,3,Crystal Palace
269,Esse,Romain,Esse,8,3,Crystal Palace
270,Hughes,Will,Hughes,8,3,Crystal Palace
271,Kamada,Daichi,Kamada,8,3,Crystal Palace
272,Lerma,Jefferson,Lerma Solís,8,3,Crystal Palace
273,Wharton,Adam,Wharton,8,3,Crystal Palace
274,Agbinone,Asher,Agbinone,8,3,Crystal Palace
275,Ahamada,Naouirou,Ahamada,8,3,Crystal Palace
276,Devenny,Justin,Devenny,8,3,Crystal Palace
277,Ebiowei,Malcolm,Ebiowei,8,3,Crystal Palace
278,J.Rak-Sakyi,Jesurun,Rak-Sakyi,8,3,Crystal Palace
279,M.França,Matheus,França de Oliveira,8,3,Crystal Palace
280,Ozoh,David,Ozoh,8,3,Crystal Palace
281,Rodney,Kaden,Rodney,8,3,Crystal Palace
282,Umeh,Franco,Umeh-Chibueze,8,3,Crystal Palace
283,Mateta,Jean-Philippe,Mateta,8,4,Crystal Palace
284,Nketiah,Eddie,Nketiah,8,4,Crystal Palace
285,Édouard,Odsonne,Édouard,8,4,Crystal Palace
286,Marsh,Zach,Marsh,8,4,Crystal Palace
690,Cardines,Rio,Cardines,8,3,Crystal Palace
242,Dewsbury-Hall,Kiernan,Dewsbury-Hall,9,3,Everton
287,Pickford,Jordan,Pickford,9,1,Everton
288,Travers,Mark,Travers,9,1,Everton
289,Tyrer,Harry,Tyrer,9,1,Everton
290,Branthwaite,Jarrad,Branthwaite,9,2,Everton
291,Tarkowski,James,Tarkowski,9,2,Everton
292,Mykolenko,Vitalii,Mykolenko,9,2,Everton
293,O'Brien,Jake,O'Brien,9,2,Everton
294,Coleman,Séamus,Coleman,9,2,Everton
295,Keane,Michael,Keane,9,2,Everton
296,Patterson,Nathan,Patterson,9,2,Everton
297,Dixon,Roman,Dixon,9,2,Everton
298,Welch,Reece,Welch,9,2,Everton
299,Ndiaye,Iliman,Ndiaye,9,3,Everton
300,McNeil,Dwight,McNeil,9,3,Everton
301,Alcaraz,Carlos,Alcaraz Durán,9,3,Everton
302,Gana,Idrissa Gana,Gueye,9,3,Everton
303,Garner,James,Garner,9,3,Everton
304,Iroegbunam,Tim,Iroegbunam,9,3,Everton
305,Armstrong,Harrison,Armstrong,9,3,Everton
306,Bates,Callum,Bates,9,3,Everton
307,Ebere,Coby,Ebere,9,3,Everton
308,Heath,Isaac,Heath,9,3,Everton
309,Metcalfe,Jenson,Metcalfe,9,3,Everton
310,Barry,Thierno,Barry,9,4,Everton
311,Beto,Norberto Bercique,Gomes Betuncal,9,4,Everton
312,Y.Chermiti,Youssef,Ramalho Chermiti,9,4,Everton
313,Sherif,Martin,Sherif,9,4,Everton
419,Grealish,Jack,Grealish,9,3,Everton
630,King,Tom,King,9,1,Everton
667,Aznou,Adam,Aznou,9,2,Everton
314,Leno,Bernd,Leno,10,1,Fulham
315,Benda,Steven,Benda,10,1,Fulham
316,Robinson,Antonee,Robinson,10,2,Fulham
