id,code,team,team_code,element_type,first_name,second_name,web_name,status,news,news_added,now_cost,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,chance_of_playing_next_round,chance_of_playing_this_round,total_points,event_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,form,value_form,value_season,points_per_game,ep_next,ep_this,transfers_in,transfers_out,transfers_in_event,transfers_out_event
36,199796,2,7,2,Matty,Cash,Cash,a,,,45,0,0,0,0,4.7,,,8,8,90,0,0,1,0,0,0,0,0,0,0,0,25,37.6,1.1,2.0,4.1,8.0,1.8,1.8,8.0,1.9,1.4,237663,35795,237663,35795
37,101188,2,7,2,Lucas,Digne,Digne,a,,,45,0,0,0,0,2.3,,,6,6,90,0,0,1,0,0,0,0,0,0,0,0,22,11.6,5.8,0.0,1.7,6.0,1.3,1.3,6.0,1.9,1.4,47731,12520,47731,12520
38,199798,2,7,2,Ezri,Konsa Ngoyo,Konsa,s,Suspended until 31 Aug,2025-08-16T19:30:05.327199Z,45,0,0,0,0,16.6,0.0,,3,3,65,0,0,1,0,0,0,0,0,1,0,0,15,1.8,1.1,0.0,0.3,3.0,0.7,0.7,3.0,0.0,1.4,18686,475160,18686,475160
39,441302,2,7,2,Ian,Maatsen,Maatsen,a,,,45,0,0,0,0,0.8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.4,3354,13781,3354,13781
40,149484,2,7,2,Tyrone,Mings,Mings,a,,,45,0,0,0,0,1.3,,,6,6,90,0,0,1,0,0,0,0,0,0,0,0,25,13.0,3.7,0.0,1.7,6.0,1.3,1.3,6.0,1.9,1.4,39489,8466,39489,8466
41,244954,2,7,2,Pau,Torres,Pau,a,,,45,0,0,0,0,0.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.4,3333,6953,3333,6953
42,606798,2,7,2,Andrés,García,A.García,d,Knock - 25% chance of playing,2025-08-10T22:00:04.418109Z,40,0,0,0,0,0.3,25.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,437,4901,437,4901
43,106468,2,7,2,Álex,Moreno Lopera,Alex Moreno,a,,,40,0,0,0,0,9.2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,29769,80225,29769,80225
44,515597,2,7,2,Lamare,Bogarde,Bogarde,a,,,40,0,0,0,0,0.3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1669,2999,1669,2999
45,514315,2,7,2,Lino,da Cruz Sousa,Sousa,a,,,40,0,0,0,0,0.4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1949,3043,1949,3043
