element,web_name,name,first_name,second_name,position,team,team_name,team_short,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,price_m,selected_by_percent,status,chance_of_playing_next_round,apps,assists_per90,goals_scored_per90,last_updated_utc,points_per90,saves_per90,xa,xg,xgc,xgi
42,A.García,Andrés García,Andrés,García,DEF,,Aston Villa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.3,d,25.0,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
43,Alex Moreno,Álex Moreno Lopera,Álex,Moreno Lopera,DEF,,Aston Villa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.2,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
44,Bogarde,Lamare Bogarde,Lamare,Bogarde,DEF,,Aston Villa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.3,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
45,Sousa,Lino da Cruz Sousa,Lino,da Cruz Sousa,DEF,,Aston Villa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.4,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
46,Yasin,Yasin Özcan,Yasin,Özcan,DEF,,Aston Villa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.2,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
47,Rogers,Morgan Rogers,Morgan,Rogers,MID,,Aston Villa,,90,3,0,0,1,0,0,0,0,0,0,0,0,7,7.2,20.1,4.0,3.1,0.0,0.05,0.05,1.43,7.0,9.7,a,100.0,1,0.0,0.0,2025-08-22T01:26:46Z,3.0,0.0,0.05,0.0,1.43,0.05
48,Tielemans,Youri Tielemans,Youri,Tielemans,MID,,Aston Villa,,90,3,0,0,1,0,0,0,0,0,0,0,0,5,4.0,1.1,0.0,0.5,0.0,0.01,0.01,1.43,6.0,2.2,a,,1,0.0,0.0,2025-08-22T01:26:46Z,3.0,0.0,0.01,0.0,1.43,0.01
49,Bailey,Leon Bailey,Leon,Bailey,MID,,Aston Villa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.4,u,0.0,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
50,Buendía,Emiliano Buendía Stati,Emiliano,Buendía Stati,MID,,Aston Villa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.1,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
51,Iling Jr,Samuel Iling-Junior,Samuel,Iling-Junior,MID,,Aston Villa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
52,J.Ramsey,Jacob Ramsey,Jacob,Ramsey,MID,,Newcastle,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.6,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
53,Malen,Donyell Malen,Donyell,Malen,MID,,Aston Villa,,6,1,0,0,0,0,0,0,0,0,0,0,0,4,3.0,0.0,17.0,2.0,0.03,0.0,0.03,0.1,5.4,1.5,a,,1,0.0,0.0,2025-08-22T01:26:46Z,15.0,0.0,0.0,0.03,0.1,0.03
54,McGinn,John McGinn,John,McGinn,MID,,Aston Villa,,83,3,0,0,1,0,0,0,0,0,0,0,0,10,5.0,19.3,6.0,3.0,0.0,0.09,0.09,1.33,5.5,0.7,a,,1,0.0,0.0,2025-08-22T01:26:46Z,3.25,0.0,0.09,0.0,1.33,0.09
55,Barkley,Ross Barkley,Ross,Barkley,MID,,Aston Villa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.1,d,25.0,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
56,Barrenechea,Enzo Barrenechea,Enzo,Barrenechea,MID,,Aston Villa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,u,0.0,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
57,Dobbin,Lewis Dobbin,Lewis,Dobbin,MID,,Aston Villa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.1,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
58,Kamara,Boubacar Kamara,Boubacar,Kamara,MID,,Aston Villa,,90,2,0,0,1,0,0,0,0,1,0,0,0,13,13.8,2.2,17.0,3.3,0.05,0.03,0.08,1.43,5.0,0.2,a,,1,0.0,0.0,2025-08-22T01:26:46Z,2.0,0.0,0.03,0.05,1.43,0.08
59,Onana,Amadou Onana,Amadou,Onana,MID,,Aston Villa,,90,5,0,0,1,0,0,0,0,0,0,0,0,19,19.4,3.0,0.0,2.2,0.0,0.01,0.01,1.43,5.0,1.9,a,,1,0.0,0.0,2025-08-22T01:26:46Z,5.0,0.0,0.01,0.0,1.43,0.01
60,Broggio,Ben Broggio,Ben,Broggio,MID,,Aston Villa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.3,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
61,Dendoncker,Leander Dendoncker,Leander,Dendoncker,MID,,Aston Villa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.3,u,0.0,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
62,Jimoh-Aloba,Jamaldeen Jimoh-Aloba,Jamaldeen,Jimoh-Aloba,MID,,Aston Villa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.1,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
