element,web_name_x,team_name,position,gw,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,in_dreamteam,team,element_type,fixture,opponent_team_x,kickoff_time_x,web_name_y,name,opponent_team_y,kickoff_time_y,kickoff_time
11,White,Arsenal,DEF,1,70,6,0,0,1,0,0,0,0,0,0,0,0,23,15.4,11.3,1.0,2.8,6,4,2,8,1,0.01,0.01,0.02,0.87,False,1,2,9,14,2025-08-17T15:30:00Z,White,Benjamin White,14,2025-08-17T15:30:00Z,2025-08-17T15:30:00Z
12,Zinchenko,Arsenal,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,2,9,14,2025-08-17T15:30:00Z,Zinchenko,Oleksandr Zinchenko,14,2025-08-17T15:30:00Z,2025-08-17T15:30:00Z
13,Clarke,Arsenal,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,2,9,14,2025-08-17T15:30:00Z,Clarke,Brayden Clarke,14,2025-08-17T15:30:00Z,2025-08-17T15:30:00Z
14,Kacurri,Arsenal,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,2,9,14,2025-08-17T15:30:00Z,Kacurri,Maldini Kacurri,14,2025-08-17T15:30:00Z,2025-08-17T15:30:00Z
15,Nichols,Arsenal,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,2,9,14,2025-08-17T15:30:00Z,Nichols,Josh Nichols,14,2025-08-17T15:30:00Z,2025-08-17T15:30:00Z
16,Saka,Arsenal,MID,1,90,3,0,0,1,0,0,0,0,0,0,0,0,7,12.0,16.4,7.0,3.5,0,2,3,5,1,0.15,0.09,0.24,1.52,False,1,3,9,14,2025-08-17T15:30:00Z,Saka,Bukayo Saka,14,2025-08-17T15:30:00Z,2025-08-17T15:30:00Z
17,Ødegaard,Arsenal,MID,1,90,5,0,0,1,0,0,0,0,0,0,0,0,16,17.8,20.3,17.0,5.5,6,7,1,14,1,0.09,0.29,0.38,1.52,False,1,3,9,14,2025-08-17T15:30:00Z,Ødegaard,Martin Ødegaard,14,2025-08-17T15:30:00Z,2025-08-17T15:30:00Z
18,Madueke,Arsenal,MID,1,30,1,0,0,0,0,0,0,0,0,0,0,0,2,1.6,10.7,2.0,1.4,0,0,0,0,0,0.0,0.02,0.02,0.82,False,1,3,9,14,2025-08-17T15:30:00Z,Madueke,Noni Madueke,14,2025-08-17T15:30:00Z,2025-08-17T15:30:00Z
19,Martinelli,Arsenal,MID,1,59,1,0,0,0,0,0,0,0,0,0,0,0,8,6.2,10.3,21.0,3.8,0,3,1,4,1,0.02,0.01,0.03,0.7,False,1,3,9,14,2025-08-17T15:30:00Z,Martinelli,Gabriel Martinelli Silva,14,2025-08-17T15:30:00Z,2025-08-17T15:30:00Z
20,Trossard,Arsenal,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,3,9,14,2025-08-17T15:30:00Z,Trossard,Leandro Trossard,14,2025-08-17T15:30:00Z,2025-08-17T15:30:00Z
21,Rice,Arsenal,MID,1,82,6,0,1,1,0,0,0,0,0,0,0,0,14,2.6,1.3,8.0,1.2,1,3,0,4,1,0.13,0.01,0.14,1.04,False,1,3,9,14,2025-08-17T15:30:00Z,Rice,Declan Rice,14,2025-08-17T15:30:00Z,2025-08-17T15:30:00Z
22,Merino,Arsenal,MID,1,7,1,0,0,0,0,0,0,0,0,0,0,0,2,1.2,0.0,0.0,0.1,1,0,0,1,0,0.0,0.0,0.0,0.49,False,1,3,9,14,2025-08-17T15:30:00Z,Merino,Mikel Merino Zazón,14,2025-08-17T15:30:00Z,2025-08-17T15:30:00Z
23,Fábio Vieira,Arsenal,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,3,9,14,2025-08-17T15:30:00Z,Fábio Vieira,Fábio Ferreira Vieira,14,2025-08-17T15:30:00Z,2025-08-17T15:30:00Z
24,Nørgaard,Arsenal,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,3,9,14,2025-08-17T15:30:00Z,Nørgaard,Christian Nørgaard,14,2025-08-17T15:30:00Z,2025-08-17T15:30:00Z
25,Nwaneri,Arsenal,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,3,9,14,2025-08-17T15:30:00Z,Nwaneri,Ethan Nwaneri,14,2025-08-17T15:30:00Z,2025-08-17T15:30:00Z
26,Zubimendi,Arsenal,MID,1,90,5,0,0,1,0,0,0,0,0,0,0,0,15,16.0,1.9,2.0,2.0,4,5,3,12,1,0.0,0.01,0.01,1.52,False,1,3,9,14,2025-08-17T15:30:00Z,Zubimendi,Martín Zubimendi Ibáñez,14,2025-08-17T15:30:00Z,2025-08-17T15:30:00Z
27,Nelson,Arsenal,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,3,9,14,2025-08-17T15:30:00Z,Nelson,Reiss Nelson,14,2025-08-17T15:30:00Z,2025-08-17T15:30:00Z
28,Kabia,Arsenal,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,3,9,14,2025-08-17T15:30:00Z,Kabia,Ismeal Kabia,14,2025-08-17T15:30:00Z,2025-08-17T15:30:00Z
29,Sambi,Arsenal,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,3,9,14,2025-08-17T15:30:00Z,Sambi,Albert Sambi Lokonga,14,2025-08-17T15:30:00Z,2025-08-17T15:30:00Z
30,Havertz,Arsenal,FWD,1,30,1,0,0,0,0,0,0,0,0,0,0,0,4,2.8,0.8,2.0,0.6,1,2,0,3,0,0.0,0.01,0.01,0.82,False,1,4,9,14,2025-08-17T15:30:00Z,Havertz,Kai Havertz,14,2025-08-17T15:30:00Z,2025-08-17T15:30:00Z
31,G.Jesus,Arsenal,FWD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,4,9,14,2025-08-17T15:30:00Z,G.Jesus,Gabriel Fernando de Jesus,14,2025-08-17T15:30:00Z,2025-08-17T15:30:00Z
32,Martinez,Aston Villa,GK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,1,2,15,2025-08-16T11:30:00Z,Martinez,Emiliano Martínez Romero,15,2025-08-16T11:30:00Z,2025-08-16T11:30:00Z
33,M.Bizot,Aston Villa,GK,1,90,7,0,0,1,0,0,0,0,0,0,3,0,29,19.6,0.0,0.0,2.0,1,12,0,0,1,0.0,0.0,0.0,1.43,False,2,1,2,15,2025-08-16T11:30:00Z,M.Bizot,Marco Bizot,15,2025-08-16T11:30:00Z,2025-08-16T11:30:00Z
34,Gauci,Aston Villa,GK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,1,2,15,2025-08-16T11:30:00Z,Gauci,Joe Gauci,15,2025-08-16T11:30:00Z,2025-08-16T11:30:00Z
35,Marschall,Aston Villa,GK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,1,2,15,2025-08-16T11:30:00Z,Marschall,Filip Marschall,15,2025-08-16T11:30:00Z,2025-08-16T11:30:00Z
36,Cash,Aston Villa,DEF,1,90,8,0,0,1,0,0,0,0,0,0,0,0,25,37.6,1.1,2.0,4.1,9,2,2,11,1,0.0,0.0,0.0,1.43,False,2,2,2,15,2025-08-16T11:30:00Z,Cash,Matty Cash,15,2025-08-16T11:30:00Z,2025-08-16T11:30:00Z
37,Digne,Aston Villa,DEF,1,90,6,0,0,1,0,0,0,0,0,0,0,0,22,11.6,5.8,0.0,1.7,5,3,2,7,1,0.0,0.01,0.01,1.43,False,2,2,2,15,2025-08-16T11:30:00Z,Digne,Lucas Digne,15,2025-08-16T11:30:00Z,2025-08-16T11:30:00Z
38,Konsa,Aston Villa,DEF,1,65,3,0,0,1,0,0,0,0,0,1,0,0,15,1.8,1.1,0.0,0.3,3,1,0,3,1,0.0,0.01,0.01,1.11,False,2,2,2,15,2025-08-16T11:30:00Z,Konsa,Ezri Konsa Ngoyo,15,2025-08-16T11:30:00Z,2025-08-16T11:30:00Z
39,Maatsen,Aston Villa,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,2,2,15,2025-08-16T11:30:00Z,Maatsen,Ian Maatsen,15,2025-08-16T11:30:00Z,2025-08-16T11:30:00Z
40,Mings,Aston Villa,DEF,1,90,6,0,0,1,0,0,0,0,0,0,0,0,25,13.0,3.7,0.0,1.7,5,2,0,5,1,0.0,0.0,0.0,1.43,False,2,2,2,15,2025-08-16T11:30:00Z,Mings,Tyrone Mings,15,2025-08-16T11:30:00Z,2025-08-16T11:30:00Z
41,Pau,Aston Villa,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,2,2,15,2025-08-16T11:30:00Z,Pau,Pau Torres,15,2025-08-16T11:30:00Z,2025-08-16T11:30:00Z
42,A.García,Aston Villa,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,2,2,15,2025-08-16T11:30:00Z,A.García,Andrés García,15,2025-08-16T11:30:00Z,2025-08-16T11:30:00Z
43,Alex Moreno,Aston Villa,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,2,2,15,2025-08-16T11:30:00Z,Alex Moreno,Álex Moreno Lopera,15,2025-08-16T11:30:00Z,2025-08-16T11:30:00Z
44,Bogarde,Aston Villa,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,2,2,15,2025-08-16T11:30:00Z,Bogarde,Lamare Bogarde,15,2025-08-16T11:30:00Z,2025-08-16T11:30:00Z
45,Sousa,Aston Villa,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,2,2,15,2025-08-16T11:30:00Z,Sousa,Lino da Cruz Sousa,15,2025-08-16T11:30:00Z,2025-08-16T11:30:00Z
46,Yasin,Aston Villa,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,2,2,15,2025-08-16T11:30:00Z,Yasin,Yasin Özcan,15,2025-08-16T11:30:00Z,2025-08-16T11:30:00Z
47,Rogers,Aston Villa,MID,1,90,3,0,0,1,0,0,0,0,0,0,0,0,7,7.2,20.1,4.0,3.1,1,5,1,7,1,0.0,0.05,0.05,1.43,False,2,3,2,15,2025-08-16T11:30:00Z,Rogers,Morgan Rogers,15,2025-08-16T11:30:00Z,2025-08-16T11:30:00Z
48,Tielemans,Aston Villa,MID,1,90,3,0,0,1,0,0,0,0,0,0,0,0,5,4.0,1.1,0.0,0.5,3,2,2,7,1,0.0,0.01,0.01,1.43,False,2,3,2,15,2025-08-16T11:30:00Z,Tielemans,Youri Tielemans,15,2025-08-16T11:30:00Z,2025-08-16T11:30:00Z
49,Bailey,Aston Villa,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,3,2,15,2025-08-16T11:30:00Z,Bailey,Leon Bailey,15,2025-08-16T11:30:00Z,2025-08-16T11:30:00Z
50,Buendía,Aston Villa,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,3,2,15,2025-08-16T11:30:00Z,Buendía,Emiliano Buendía Stati,15,2025-08-16T11:30:00Z,2025-08-16T11:30:00Z
51,Iling Jr,Aston Villa,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,3,2,15,2025-08-16T11:30:00Z,Iling Jr,Samuel Iling-Junior,15,2025-08-16T11:30:00Z,2025-08-16T11:30:00Z
52,J.Ramsey,Newcastle,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,15,3,2,2,2025-08-16T11:30:00Z,J.Ramsey,Jacob Ramsey,2,2025-08-16T11:30:00Z,2025-08-16T11:30:00Z
53,Malen,Aston Villa,MID,1,6,1,0,0,0,0,0,0,0,0,0,0,0,4,3.0,0.0,17.0,2.0,0,0,0,0,0,0.03,0.0,0.03,0.1,False,2,3,2,15,2025-08-16T11:30:00Z,Malen,Donyell Malen,15,2025-08-16T11:30:00Z,2025-08-16T11:30:00Z
54,McGinn,Aston Villa,MID,1,83,3,0,0,1,0,0,0,0,0,0,0,0,10,5.0,19.3,6.0,3.0,0,7,0,7,1,0.0,0.09,0.09,1.33,False,2,3,2,15,2025-08-16T11:30:00Z,McGinn,John McGinn,15,2025-08-16T11:30:00Z,2025-08-16T11:30:00Z
55,Barkley,Aston Villa,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,3,2,15,2025-08-16T11:30:00Z,Barkley,Ross Barkley,15,2025-08-16T11:30:00Z,2025-08-16T11:30:00Z
56,Barrenechea,Aston Villa,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,3,2,15,2025-08-16T11:30:00Z,Barrenechea,Enzo Barrenechea,15,2025-08-16T11:30:00Z,2025-08-16T11:30:00Z
57,Dobbin,Aston Villa,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,3,2,15,2025-08-16T11:30:00Z,Dobbin,Lewis Dobbin,15,2025-08-16T11:30:00Z,2025-08-16T11:30:00Z
58,Kamara,Aston Villa,MID,1,90,2,0,0,1,0,0,0,0,1,0,0,0,13,13.8,2.2,17.0,3.3,3,6,2,11,1,0.05,0.03,0.08,1.43,False,2,3,2,15,2025-08-16T11:30:00Z,Kamara,Boubacar Kamara,15,2025-08-16T11:30:00Z,2025-08-16T11:30:00Z
59,Onana,Aston Villa,MID,1,90,5,0,0,1,0,0,0,0,0,0,0,0,19,19.4,3.0,0.0,2.2,5,7,2,14,1,0.0,0.01,0.01,1.43,False,2,3,2,15,2025-08-16T11:30:00Z,Onana,Amadou Onana,15,2025-08-16T11:30:00Z,2025-08-16T11:30:00Z
60,Broggio,Aston Villa,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,3,2,15,2025-08-16T11:30:00Z,Broggio,Ben Broggio,15,2025-08-16T11:30:00Z,2025-08-16T11:30:00Z
61,Dendoncker,Aston Villa,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,3,2,15,2025-08-16T11:30:00Z,Dendoncker,Leander Dendoncker,15,2025-08-16T11:30:00Z,2025-08-16T11:30:00Z
62,Jimoh-Aloba,Aston Villa,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,3,2,15,2025-08-16T11:30:00Z,Jimoh-Aloba,Jamaldeen Jimoh-Aloba,15,2025-08-16T11:30:00Z,2025-08-16T11:30:00Z
63,Young,Aston Villa,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,3,2,15,2025-08-16T11:30:00Z,Young,Kadan Young,15,2025-08-16T11:30:00Z,2025-08-16T11:30:00Z
64,Watkins,Aston Villa,FWD,1,90,2,0,0,1,0,0,0,0,0,0,0,0,12,10.6,12.2,27.0,5.0,2,3,0,5,1,0.12,0.01,0.13,1.43,False,2,4,2,15,2025-08-16T11:30:00Z,Watkins,Ollie Watkins,15,2025-08-16T11:30:00Z,2025-08-16T11:30:00Z
65,Redmond,Aston Villa,FWD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,4,2,15,2025-08-16T11:30:00Z,Redmond,Zépiqueno Redmond,15,2025-08-16T11:30:00Z,2025-08-16T11:30:00Z
66,Neto,Bournemouth,GK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,4,1,1,12,2025-08-15T19:00:00Z,Neto,Norberto Murara Neto,12,2025-08-15T19:00:00Z,2025-08-15T19:00:00Z
67,Petrović,Bournemouth,GK,1,90,2,0,0,0,4,0,0,0,0,0,6,0,10,47.8,0.0,0.0,4.8,4,8,0,0,1,0.0,0.0,0.0,2.21,False,4,1,1,12,2025-08-15T19:00:00Z,Petrović,Đorđe Petrović,12,2025-08-15T19:00:00Z,2025-08-15T19:00:00Z
68,Dennis,Bournemouth,GK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,4,1,1,12,2025-08-15T19:00:00Z,Dennis,Will Dennis,12,2025-08-15T19:00:00Z,2025-08-15T19:00:00Z
69,McKenna,Bournemouth,GK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,4,1,1,12,2025-08-15T19:00:00Z,McKenna,Callan McKenna,12,2025-08-15T19:00:00Z,2025-08-15T19:00:00Z
70,Paulsen,Bournemouth,GK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,4,1,1,12,2025-08-15T19:00:00Z,Paulsen,Alex Paulsen,12,2025-08-15T19:00:00Z,2025-08-15T19:00:00Z
71,Zabarnyi,Bournemouth,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,4,2,1,12,2025-08-15T19:00:00Z,Zabarnyi,Illia Zabarnyi,12,2025-08-15T19:00:00Z,2025-08-15T19:00:00Z
72,Senesi,Bournemouth,DEF,1,90,2,0,0,0,4,0,0,0,0,0,0,0,1,26.6,14.6,2.0,4.3,12,2,3,15,1,0.0,0.05,0.05,2.21,False,4,2,1,12,2025-08-15T19:00:00Z,Senesi,Marcos Senesi Barón,12,2025-08-15T19:00:00Z,2025-08-15T19:00:00Z
73,Smith,Bournemouth,DEF,1,89,1,0,0,0,3,0,0,0,0,0,0,0,2,12.2,10.5,4.0,2.7,8,2,1,9,1,0.0,0.08,0.08,2.1,False,4,2,1,12,2025-08-15T19:00:00Z,Smith,Adam Smith,12,2025-08-15T19:00:00Z,2025-08-15T19:00:00Z
74,Truffert,Bournemouth,DEF,1,90,0,0,0,0,4,0,0,0,0,0,0,0,-1,18.2,19.1,0.0,3.7,4,4,2,6,1,0.0,0.13,0.13,2.21,False,4,2,1,12,2025-08-15T19:00:00Z,Truffert,Adrien Truffert,12,2025-08-15T19:00:00Z,2025-08-15T19:00:00Z
75,Akinmboni,Bournemouth,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,4,2,1,12,2025-08-15T19:00:00Z,Akinmboni,Matai Akinmboni,12,2025-08-15T19:00:00Z,2025-08-15T19:00:00Z
76,Bevan,Bournemouth,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,4,2,1,12,2025-08-15T19:00:00Z,Bevan,Owen Bevan,12,2025-08-15T19:00:00Z,2025-08-15T19:00:00Z
77,Hill,Bournemouth,DEF,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3.0,0.1,0.0,0.3,2,0,0,2,0,0.0,0.0,0.0,0.11,False,4,2,1,12,2025-08-15T19:00:00Z,Hill,James Hill,12,2025-08-15T19:00:00Z,2025-08-15T19:00:00Z
78,J.Araujo,Bournemouth,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,4,2,1,12,2025-08-15T19:00:00Z,J.Araujo,Julián Araujo Zúñiga,12,2025-08-15T19:00:00Z,2025-08-15T19:00:00Z
79,Mepham,Bournemouth,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,4,2,1,12,2025-08-15T19:00:00Z,Mepham,Chris Mepham,12,2025-08-15T19:00:00Z,2025-08-15T19:00:00Z
80,Soler,Bournemouth,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,4,2,1,12,2025-08-15T19:00:00Z,Soler,Julio Soler Barreto,12,2025-08-15T19:00:00Z,2025-08-15T19:00:00Z
81,Kluivert,Bournemouth,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,4,3,1,12,2025-08-15T19:00:00Z,Kluivert,Justin Kluivert,12,2025-08-15T19:00:00Z,2025-08-15T19:00:00Z
82,Semenyo,Bournemouth,MID,1,90,15,2,0,0,4,0,0,0,0,0,0,3,42,66.4,1.3,32.0,10.0,1,3,1,5,1,0.91,0.02,0.93,2.21,True,4,3,1,12,2025-08-15T19:00:00Z,Semenyo,Antoine Semenyo,12,2025-08-15T19:00:00Z,2025-08-15T19:00:00Z
83,O.Dango,Brentford,MID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,5,3,1,12,2025-08-15T19:00:00Z,O.Dango,Dango Ouattara,12,2025-08-15T19:00:00Z,2025-08-15T19:00:00Z
