player_id,web_name,first_name,second_name,team_name,team_short,position,current_gw,current_gw_deadline_utc,last_updated_utc,price_m,transfers_in_between_gws_current,transfers_out_between_gws_current,selected_by_percent,price_m_prev,transfers_in_between_gws_current_prev,transfers_out_between_gws_current_prev,selected_by_percent_prev,delta_price_m,delta_transfers_in_between_gws_current,delta_transfers_out_between_gws_current,delta_selected_by_percent
48,Tielemans,Youri,Tielemans,Aston Villa,AVL,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,6.0,14988,29378,2.2,6.0,14988,29378,2.2,0.0,0,0,0.0
49,Bailey,Leon,Bailey,Aston Villa,AVL,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,5.5,2168,15740,0.4,5.5,2168,15740,0.4,0.0,0,0,0.0
50,Buendía,Emiliano,Buendía Stati,Aston Villa,AVL,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,5.4,386,4356,0.1,5.4,386,4356,0.1,0.0,0,0,0.0
51,Iling Jr,Samuel,Iling-Junior,Aston Villa,AVL,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,5.5,143,484,0.0,5.5,143,484,0.0,0.0,0,0,0.0
53,Malen,Donyell,Malen,Aston Villa,AVL,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,5.4,4599,41053,1.6,5.4,4599,41053,1.6,0.0,0,0,0.0
54,McGinn,John,McGinn,Aston Villa,AVL,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,5.5,7303,8847,0.7,5.5,7303,8847,0.7,0.0,0,0,0.0
55,Barkley,Ross,Barkley,Aston Villa,AVL,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,5.0,81,2561,0.1,5.0,81,2561,0.1,0.0,0,0,0.0
56,Barrenechea,Enzo,Barrenechea,Aston Villa,AVL,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,5.0,0,9,0.0,5.0,0,9,0.0,0.0,0,0,0.0
57,Dobbin,Lewis,Dobbin,Aston Villa,AVL,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,5.0,499,925,0.1,5.0,499,925,0.1,0.0,0,0,0.0
58,Kamara,Boubacar,Kamara,Aston Villa,AVL,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,5.0,2651,3069,0.2,5.0,2651,3069,0.2,0.0,0,0,0.0
59,Onana,Amadou,Onana,Aston Villa,AVL,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,5.0,33600,20135,1.9,5.0,33600,20135,1.9,0.0,0,0,0.0
60,Broggio,Ben,Broggio,Aston Villa,AVL,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.5,2837,3745,0.3,4.5,2837,3745,0.3,0.0,0,0,0.0
61,Dendoncker,Leander,Dendoncker,Aston Villa,AVL,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.5,2169,5574,0.3,4.5,2169,5574,0.3,0.0,0,0,0.0
62,Jimoh-Aloba,Jamaldeen,Jimoh-Aloba,Aston Villa,AVL,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.5,398,645,0.1,4.5,398,645,0.1,0.0,0,0,0.0
63,Young,Kadan,Young,Aston Villa,AVL,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.5,5733,8548,0.7,4.5,5733,8548,0.7,0.0,0,0,0.0
64,Watkins,Ollie,Watkins,Aston Villa,AVL,FWD,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,9.0,109881,232921,25.4,9.0,109881,232921,25.4,0.0,0,0,0.0
65,Redmond,Zépiqueno,Redmond,Aston Villa,AVL,FWD,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.5,9392,10505,0.9,4.5,9392,10505,0.9,0.0,0,0,0.0
677,Guessand,Evann,Guessand,Aston Villa,AVL,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,6.5,321,1662,0.1,6.5,321,1662,0.1,0.0,0,0,0.0
688,Wright,James,Wright,Aston Villa,AVL,GK,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.0,10571,1273,0.4,4.0,10571,1273,0.4,0.0,0,0,0.0
183,Weiss,Max,Weiß,Burnley,BUR,GK,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.5,569,1714,0.2,4.5,569,1714,0.2,0.0,0,0,0.0
184,Green,Etienne,Green,Burnley,BUR,GK,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.0,2066,2085,0.4,4.0,2066,2085,0.4,0.0,0,0,0.0
185,Hladký,Václav,Hladký,Burnley,BUR,GK,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.0,645,1186,0.2,4.0,645,1186,0.2,0.0,0,0,0.0
186,Roberts,Connor,Roberts,Burnley,BUR,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.5,379,1181,0.1,4.5,379,1181,0.1,0.0,0,0,0.0
187,Walker,Kyle,Walker,Burnley,BUR,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.5,13175,17113,1.9,4.5,13175,17113,1.9,0.0,0,0,0.0
188,Delcroix,Hannes,Delcroix,Burnley,BUR,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.0,1005,2681,0.3,4.0,1005,2681,0.3,0.0,0,0,0.0
189,Dodgson,Owen,Dodgson,Burnley,BUR,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.0,0,761,0.0,4.0,0,761,0.0,0.0,0,0,0.0
190,Ekdal,Hjalmar,Ekdal,Burnley,BUR,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.0,3771,2050,0.3,4.0,3771,2050,0.3,0.0,0,0,0.0
