player_id,web_name,team_name,team_short,position,current_gw,current_gw_deadline_utc,last_updated_utc,price_m,transfers_in_between_gws_current,transfers_out_between_gws_current,selected_by_percent,selected_by_percent_prev,delta_selected_by_percent
66,Neto,Bournemouth,BOU,GK,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.5,0,0,0.2,0.2,0.0
67,Petrović,Bournemouth,BOU,GK,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.5,0,0,3.6,3.6,0.0
68,Dennis,Bournemouth,BOU,GK,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.0,0,0,1.1,1.1,0.0
69,McKenna,Bournemouth,BOU,GK,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.0,0,0,0.2,0.2,0.0
70,Paulsen,Bournemouth,BOU,GK,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.0,0,0,0.1,0.1,0.0
71,Zabarnyi,Bournemouth,BOU,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,5.0,0,0,0.1,0.1,0.0
72,Senesi,Bournemouth,BOU,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.5,0,0,1.3,1.3,0.0
73,Smith,Bournemouth,BOU,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.5,0,0,0.4,0.4,0.0
74,Truffert,Bournemouth,BOU,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.5,0,0,1.0,1.0,0.0
75,Akinmboni,Bournemouth,BOU,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.0,0,0,0.3,0.3,0.0
76,Bevan,Bournemouth,BOU,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.0,0,0,0.2,0.2,0.0
77,Hill,Bournemouth,BOU,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.0,0,0,0.8,0.8,0.0
78,J.Araujo,Bournemouth,BOU,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.0,0,0,1.3,1.3,0.0
79,Mepham,Bournemouth,BOU,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.0,0,0,0.2,0.2,0.0
80,Soler,Bournemouth,BOU,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.0,0,0,0.3,0.3,0.0
81,Kluivert,Bournemouth,BOU,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,7.0,0,0,0.6,0.6,0.0
82,Semenyo,Bournemouth,BOU,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,7.1,0,0,14.9,14.9,0.0
84,Tavernier,Bournemouth,BOU,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,5.5,0,0,0.6,0.6,0.0
85,Adams,Bournemouth,BOU,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,5.0,0,0,0.3,0.3,0.0
86,Brooks,Bournemouth,BOU,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,5.0,0,0,0.2,0.2,0.0
87,Christie,Bournemouth,BOU,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,5.0,0,0,0.1,0.1,0.0
88,Cook,Bournemouth,BOU,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,5.0,0,0,0.0,0.0,0.0
89,Philip,Bournemouth,BOU,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,5.0,0,0,0.1,0.1,0.0
90,Scott,Bournemouth,BOU,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,5.0,0,0,0.1,0.1,0.0
91,Sinisterra,Bournemouth,BOU,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,5.0,0,0,0.0,0.0,0.0
92,Faivre,Bournemouth,BOU,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.5,0,0,0.2,0.2,0.0
93,H.Traorè,Bournemouth,BOU,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.5,0,0,1.2,1.2,0.0
94,Sadi,Bournemouth,BOU,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.5,0,0,0.1,0.1,0.0
95,Silcott-Duberry,Bournemouth,BOU,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.5,0,0,0.1,0.1,0.0
96,Winterburn,Bournemouth,BOU,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.5,0,0,0.1,0.1,0.0
97,Evanilson,Bournemouth,BOU,FWD,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,7.0,0,0,2.5,2.5,0.0
98,Enes Ünal,Bournemouth,BOU,FWD,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,5.5,0,0,0.0,0.0,0.0
99,Adu-Adjei,Bournemouth,BOU,FWD,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.5,0,0,0.3,0.3,0.0
100,Kroupi.Jr,Bournemouth,BOU,FWD,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.5,0,0,1.3,1.3,0.0
391,Gannon-Doak,Bournemouth,BOU,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,5.0,0,0,0.1,0.1,0.0
685,Diakité,Bournemouth,BOU,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.5,0,0,0.2,0.2,0.0
687,Rees-Dottin,Bournemouth,BOU,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.5,0,0,0.1,0.1,0.0
697,Adli,Bournemouth,BOU,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,5.5,0,0,0.0,0.0,0.0
83,O.Dango,Brentford,BRE,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,6.0,0,0,0.1,0.1,0.0
101,Kelleher,Brentford,BRE,GK,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.5,0,0,10.3,10.3,0.0
102,Balcombe,Brentford,BRE,GK,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.0,0,0,0.3,0.3,0.0
103,Cox,Brentford,BRE,GK,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.0,0,0,0.2,0.2,0.0
104,Eyestone,Brentford,BRE,GK,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.0,0,0,0.1,0.1,0.0
105,Valdimarsson,Brentford,BRE,GK,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.0,0,0,1.0,1.0,0.0
