element,web_name,team_name,position,gw,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,in_dreamteam,team,element_type
44,Bogarde,Aston Villa,DEF,15,15,1,0,0,0,0,0,0,0,0,0,0,0,3,1.6,0.7,0.0,0.2,1,1,0,1,0,0.00,0.01,0.01,0.05,False,2,2
45,Sousa,Aston Villa,DEF,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,2
46,Yasin,Aston Villa,DEF,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,2
47,Rogers,Aston Villa,MID,15,90,2,0,0,0,1,0,0,0,0,0,0,0,12,13.6,32.3,41.0,8.7,3,3,1,7,1,0.04,0.17,0.21,1.92,False,2,3
48,Tielemans,Aston Villa,MID,15,90,2,0,0,0,1,0,0,0,0,0,0,0,13,13.4,18.8,41.0,7.3,1,6,3,10,1,0.34,0.14,0.48,1.92,False,2,3
49,Bailey,Aston Villa,MID,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,3
50,Buendía,Aston Villa,MID,15,3,6,1,0,0,0,0,0,0,0,0,0,0,22,35.2,10.8,40.0,8.6,0,0,0,0,0,0.48,0.17,0.65,0.05,False,2,3
51,Iling Jr,Aston Villa,MID,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,3
52,J.Ramsey,Newcastle,MID,15,90,1,0,0,0,1,0,0,0,1,0,0,0,8,1.8,17.1,18.0,3.7,1,8,2,11,1,0.09,0.29,0.38,1.38,False,15,3
53,Malen,Aston Villa,MID,15,24,1,0,0,0,0,0,0,0,0,0,0,0,-3,0.0,0.3,8.0,0.7,0,0,0,0,0,0.19,0.00,0.19,0.50,False,2,3
54,McGinn,Aston Villa,MID,15,74,2,0,0,0,1,0,0,0,0,0,0,0,11,5.0,11.3,4.0,2.0,2,1,1,4,1,0.00,0.02,0.02,1.87,False,2,3
55,Barkley,Aston Villa,MID,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,3
56,Barrenechea,Aston Villa,MID,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,3
57,Dobbin,Aston Villa,MID,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,3
58,Kamara,Aston Villa,MID,15,90,10,0,1,0,1,0,0,0,0,0,0,3,37,36.6,16.6,11.0,6.4,2,6,4,12,1,0.09,0.04,0.13,1.92,False,2,3
59,Onana,Aston Villa,MID,15,74,2,0,0,0,1,0,0,0,0,0,0,0,5,1.4,2.2,0.0,0.4,3,4,2,9,1,0.00,0.02,0.02,1.87,False,2,3
60,Broggio,Aston Villa,MID,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,3
61,Dendoncker,Aston Villa,MID,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,3
62,Jimoh-Aloba,Aston Villa,MID,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,3
63,Young,Aston Villa,MID,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,3
64,Watkins,Aston Villa,FWD,15,65,2,0,0,0,1,0,0,0,0,0,0,0,8,12.2,2.3,50.0,6.5,1,2,1,4,1,0.83,0.00,0.83,1.42,False,2,4
65,Redmond,Aston Villa,FWD,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,4
66,Neto,Bournemouth,GK,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,4,1
67,Petrović,Bournemouth,GK,15,90,7,0,0,1,0,0,0,0,0,0,4,0,31,28.0,0.0,0.0,2.8,0,11,0,0,1,0.00,0.00,0.00,0.92,False,4,1
68,Dennis,Bournemouth,GK,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,4,1
69,McKenna,Bournemouth,GK,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,4,1
70,Paulsen,Bournemouth,GK,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,4,1
71,Zabarnyi,Bournemouth,DEF,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,4,2
72,Senesi,Bournemouth,DEF,15,61,8,0,0,1,0,0,0,0,0,0,0,0,28,24.0,20.3,0.0,4.4,10,6,1,11,1,0.00,0.00,0.00,0.69,False,4,2
73,Smith,Bournemouth,DEF,15,90,6,0,0,1,0,0,0,0,0,0,0,0,23,7.8,0.4,2.0,1.0,4,4,2,6,1,0.00,0.00,0.00,0.92,False,4,2
74,Truffert,Bournemouth,DEF,15,90,6,0,0,1,0,0,0,0,0,0,0,0,31,19.6,22.3,5.0,4.7,6,5,2,8,1,0.03,0.04,0.07,0.92,False,4,2
75,Akinmboni,Bournemouth,DEF,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,4,2
76,Bevan,Bournemouth,DEF,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,4,2
77,Hill,Bournemouth,DEF,15,28,1,0,0,0,0,0,0,0,0,0,0,0,4,3.0,0.0,2.0,0.5,2,0,1,3,0,0.00,0.00,0.00,0.24,False,4,2
78,J.Araujo,Bournemouth,DEF,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,4,2
79,Mepham,Bournemouth,DEF,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,4,2
80,Soler,Bournemouth,DEF,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,4,2
81,Kluivert,Bournemouth,MID,15,73,3,0,0,1,0,0,0,0,0,0,0,0,7,4.0,12.8,4.0,2.1,0,4,2,6,1,0.00,0.03,0.03,0.90,False,4,3
82,Semenyo,Bournemouth,MID,15,90,3,0,0,1,0,0,0,0,0,0,0,0,14,17.0,32.9,66.0,11.6,3,0,2,5,1,0.18,0.13,0.31,0.92,False,4,3
83,O.Dango,Brentford,MID,15,87,4,0,0,0,2,0,0,0,0,0,0,0,15,16.2,4.8,0.0,2.1,6,5,2,13,1,0.00,0.01,0.01,2.16,False,5,3
84,Tavernier,Bournemouth,MID,15,90,5,0,0,1,0,0,0,0,0,0,0,0,15,10.8,2.5,12.0,2.5,6,8,2,16,1,0.25,0.03,0.28,0.92,False,4,3
85,Adams,Bournemouth,MID,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,4,3
86,Brooks,Bournemouth,MID,15,16,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,1.1,0.0,0.1,0,0,0,0,0,0.00,0.00,0.00,0.03,False,4,3
87,Christie,Bournemouth,MID,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,4,3
88,Cook,Bournemouth,MID,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,4,3
89,Philip,Bournemouth,MID,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,4,3
90,Scott,Bournemouth,MID,15,90,5,0,0,1,0,0,0,0,0,0,0,0,21,16.6,5.8,23.0,4.5,3,11,2,16,1,0.04,0.01,0.05,0.92,False,4,3
91,Sinisterra,Bournemouth,MID,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,4,3
92,Faivre,Bournemouth,MID,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,4,3
93,H.Traorè,Bournemouth,MID,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,4,3
94,Sadi,Bournemouth,MID,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,4,3
95,Silcott-Duberry,Bournemouth,MID,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,4,3
96,Winterburn,Bournemouth,MID,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,4,3
97,Evanilson,Bournemouth,FWD,15,86,2,0,0,1,0,0,0,0,0,0,0,0,-3,0.0,1.3,7.0,0.7,0,0,1,1,1,0.85,0.00,0.85,0.90,False,4,4
98,Enes Ünal,Bournemouth,FWD,15,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,1,0,1,0,0.00,0.00,0.00,0.03,False,4,4
99,Adu-Adjei,Bournemouth,FWD,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,4,4
100,Kroupi.Jr,Bournemouth,FWD,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,4,4
101,Kelleher,Brentford,GK,15,90,2,0,0,0,2,0,0,0,0,0,5,0,14,34.8,0.0,0.0,3.5,6,5,0,0,1,0.00,0.00,0.00,2.18,False,5,1
102,Balcombe,Brentford,GK,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,5,1
103,Cox,Brentford,GK,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,5,1
104,Eyestone,Brentford,GK,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,5,1
105,Valdimarsson,Brentford,GK,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,5,1
106,Collins,Brentford,DEF,15,90,3,0,0,0,2,0,0,0,0,0,0,0,16,32.0,11.8,6.0,5.0,6,10,5,11,1,0.00,0.03,0.03,2.18,False,5,2
107,Lewis-Potter,Brentford,DEF,15,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.03,False,5,2
108,Ajer,Brentford,DEF,15,45,-1,0,0,0,2,0,0,0,1,0,0,0,-7,2.8,0.6,2.0,0.5,1,1,2,3,1,0.00,0.00,0.00,1.38,False,5,2
109,Henry,Brentford,DEF,15,45,1,0,0,0,0,0,0,0,0,0,0,0,4,2.8,1.9,1.0,0.6,3,5,1,4,0,0.01,0.04,0.05,0.80,False,5,2
110,Kayode,Brentford,DEF,15,75,0,0,0,0,2,0,0,0,1,0,0,0,11,14.6,1.7,0.0,1.6,4,4,5,9,1,0.00,0.00,0.00,1.86,False,5,2
111,Pinnock,Brentford,DEF,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,5,2
112,Roerslev,Brentford,DEF,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,5,2
113,Van den Berg,Brentford,DEF,15,90,1,0,0,0,2,0,0,0,0,0,0,0,3,6.2,1.8,2.0,1.0,4,2,1,5,1,0.00,0.01,0.01,2.18,False,5,2
114,Arthur,Brentford,DEF,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,5,2
115,Fredrick,Brentford,DEF,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,5,2
116,Hickey,Brentford,DEF,15,14,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.1,0.0,0.0,0,1,0,0,0,0.00,0.00,0.00,0.33,False,5,2
117,Ji-soo,Brentford,DEF,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,5,2
118,Meghoma,Brentford,DEF,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,5,2
119,Mbeumo,Man Utd,MID,15,90,8,1,0,0,1,0,0,0,1,0,0,2,32,52.0,42.3,56.0,15.0,0,7,3,10,1,1.18,0.08,1.26,0.41,False,14,3
120,Schade,Brentford,MID,15,90,1,0,0,0,2,0,0,0,1,0,0,0,6,10.8,1.5,2.0,1.4,5,0,2,7,1,0.00,0.01,0.01,2.18,False,5,3
121,Damsgaard,Brentford,MID,15,60,2,0,0,0,2,0,0,0,0,0,0,0,2,0.0,6.5,6.0,1.2,0,4,0,4,1,0.00,0.29,0.29,1.76,False,5,3
122,Milambo,Brentford,MID,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,5,3
123,Carvalho,Brentford,MID,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,5,3
124,Henderson,Brentford,MID,15,90,4,0,0,0,2,0,0,0,0,0,0,0,14,27.2,15.8,0.0,4.3,4,5,5,14,1,0.00,0.10,0.10,2.18,False,5,3
125,Janelt,Brentford,MID,15,14,1,0,0,0,0,0,0,0,0,0,0,0,5,2.0,11.7,2.0,1.6,0,0,0,0,0,0.00,0.05,0.05,0.33,False,5,3
126,Jensen,Brentford,MID,15,29,1,0,0,0,0,0,0,0,0,0,0,0,4,2.8,0.6,0.0,0.3,1,0,0,1,0,0.00,0.00,0.00,0.43,False,5,3
127,Nunes,Brentford,MID,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,5,3
128,Onyeka,Brentford,MID,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,5,3
129,Yarmoliuk,Brentford,MID,15,75,1,0,0,0,2,0,0,0,1,0,0,0,3,5.2,1.7,0.0,0.7,3,2,1,6,1,0.00,0.01,0.01,1.86,False,5,3
130,Donovan,Brentford,MID,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,5,3
131,Konak,Brentford,MID,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,5,3
132,Maghoma,Brentford,MID,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,5,3
133,Peart-Harris,Brentford,MID,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,5,3
134,Trevitt,Brentford,MID,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,5,3
135,Wissa,Newcastle,FWD,15,16,1,0,0,0,1,0,0,0,0,0,0,0,2,0.2,2.1,4.0,0.6,0,1,0,1,0,0.00,0.06,0.06,1.06,False,15,4
136,Thiago,Brentford,FWD,15,90,2,0,0,0,2,0,0,0,0,0,0,0,4,4.6,1.0,32.0,3.8,1,4,0,5,1,0.27,0.02,0.29,2.18,False,5,4
137,Morgan,Brentford,FWD,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,5,4
138,Steele,Brighton,GK,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,6,1
139,Verbruggen,Brighton,GK,15,90,3,0,0,0,1,0,0,0,0,0,4,0,22,35.2,0.0,0.0,3.5,2,8,0,0,1,0.00,0.00,0.00,1.14,False,6,1
140,McGill,Brighton,GK,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,6,1
141,Rushworth,Brighton,GK,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,6,1
